procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 64835156 143648 1081264    0    0     0    21 28929 256733 19 11 70  0  0
 8  0      0 64832876 143648 1081232    0    0     0     6 29779 259358 19 12 70  0  0
14  0      0 64828492 143648 1081232    0    0     0     6 28594 252904 19 12 70  0  0
 5  0      0 64810140 143648 1081264    0    0     0    21 29809 260800 19 12 70  0  0
 5  0      0 64825296 143652 1081236    0    0     0     6 29317 258296 19 12 70  0  0
 5  0      0 64823608 143656 1081236    0    0     0    10 28587 253341 18 12 70  0  0
11  0      0 64824976 143660 1081236    0    0     0    30 29903 264898 19 12 69  0  0
 2  0      0 64824816 143660 1081236    0    0     0     0 28799 253864 18 12 70  0  0
 8  0      0 64823788 143660 1081236    0    0     0     4 30350 266339 19 12 69  0  0
 9  0      0 64821632 143660 1081268    0    0     0    10 29897 264035 19 11 70  0  0
 8  0      0 64821704 143668 1081236    0    0     0    14 28796 253951 18 12 70  0  0
12  0      0 64813228 143672 1081240    0    0     0    10 30160 263940 19 12 69  0  0
 3  0      0 64813004 143672 1081240    0    0     0    21 29925 264287 19 12 70  0  0
 9  0      0 64811964 143672 1081240    0    0     0    10 30441 265588 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0      0 64791788 143672 1081240    0    0     0     6 28967 257148 18 12 70  0  0
12  0      0 64811868 143672 1081284    0    0     0    18 29852 260850 19 11 70  0  0
12  0      0 64812140 143672 1081284    0    0     0     9 30600 266554 19 12 69  0  0
17  0      0 64810392 143672 1081284    0    0     0     8 30187 267286 19 12 69  0  0
12  0      0 64791420 143672 1081320    0    0     0    18 29332 259981 19 12 70  0  0
11  0      0 64803840 143672 1081288    0    0     0    17 29121 254856 19 11 70  0  0
 5  0      0 64801984 143676 1081288    0    0     0    10 30513 267150 19 12 69  0  0
12  0      0 64802240 143676 1081288    0    0     0     4 30336 265498 19 12 69  0  0
 9  0      0 64800876 143680 1081320    0    0     0    10 30234 264936 19 12 69  0  0
10  0      0 64785668 143684 1081288    0    0     0    17 28926 254307 19 12 70  0  0
 8  0      0 64801828 143688 1081296    0    0     0    13 29680 263287 19 12 70  0  0
 8  0      0 64801256 143688 1081296    0    0     0    17 29939 265163 19 12 69  0  0
10  0      0 64799392 143688 1081296    0    0     0    15 29880 265229 19 12 69  0  0
14  0      0 64774012 143688 1081328    0    0     0    10 29524 258540 19 12 70  0  0
12  0      0 64792692 143688 1081296    0    0     0     4 28898 258006 19 12 70  0  0
11  0      0 64792056 143692 1081296    0    0     0    14 30122 264841 19 12 69  0  0
10  0      0 64792612 143696 1081296    0    0     0    15 30204 266399 19 12 69  0  0
 4  0      0 64756160 143700 1081332    0    0     0    14 29627 262926 19 11 70  0  0
 9  0      0 64792112 143704 1081300    0    0     0     9 28824 254125 18 12 70  0  0
 8  0      0 64790336 143704 1081300    0    0     0    10 30165 267890 19 12 69  0  0
12  0      0 64788668 143704 1081300    0    0     0     9 30413 265701 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 64781680 143704 1081332    0    0     0    13 30286 266546 19 12 69  0  0
10  0      0 64766184 143708 1081300    0    0     0    12 28552 254343 18 11 70  0  0
 9  0      0 64782532 143708 1081340    0    0     0    14 29758 260803 19 11 70  0  0
 8  0      0 64781864 143708 1081344    0    0     0     9 30071 265764 19 12 70  0  0
15  0      0 64780680 143708 1081340    0    0     0     8 30150 265466 19 12 69  0  0
 8  0      0 64769000 143712 1081372    0    0     0    22 29292 259712 19 12 70  0  0
 8  0      0 64780500 143712 1081340    0    0     0     6 29304 260837 19 12 70  0  0
12  0      0 64779948 143712 1081340    0    0     0    13 29884 263644 19 11 70  0  0
12  0      0 64778344 143716 1081340    0    0     0    16 29974 267346 19 12 69  0  0
10  0      0 64770576 143720 1081376    0    0     0     9 29994 265814 19 11 69  0  0
 8  0      0 64774892 143720 1081344    0    0     0     6 28442 252667 18 12 70  0  0
 6  0      0 64775396 143720 1081344    0    0     0    10 30288 266028 19 11 69  0  0
 4  0      0 64775024 143724 1081344    0    0     0    12 30019 265651 19 12 69  0  0
11  0      0 64775928 143724 1081344    0    0     0    18 30394 267281 19 12 69  0  0
