procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  1      0 74448944 147944 1120308    0    0     0     0    1    1 13  7 81  0  0
 7  0      0 73290448 147948 1120652    0    0     0    73 186342 130572 36  6 58  0  0
10  0      0 73071392 147948 1120652    0    0     0     0 364361 224211 19  7 74  0  0
 6  0      0 72748104 147952 1120652    0    0     0     6 389858 221069 20  7 73  0  0
12  0      0 72384280 147952 1120684    0    0     0     6 394849 223876 22  7 72  0  0
21  0      0 71728032 147952 1120652    0    0     0     9 216924 221185 27  8 65  0  0
12  0      0 70384256 147952 1120652    0    0     0     0 34902 255735 31 11 58  0  0
 7  0      0 68998848 147952 1120656    0    0     0    73 33455 277152 24 12 64  0  0
 8  0      0 68051712 147952 1120688    0    0     0     6 33076 278579 23 11 65  0  0
54  0      0 66903724 147956 1120652    0    0     0     9 50442 359392 34 15 52  0  0
 5  0      0 65690368 147956 1120656    0    0     0     0 50761 354907 33 16 51  0  0
 3  0      0 65049848 147956 1120656    0    0     0     6 32314 271830 21 12 67  0  0
 7  0      0 64800684 147960 1120656    0    0     0     9 31489 262156 20 12 69  0  0
11  0      0 64707960 147964 1120656    0    0     0    34 29734 256890 19 12 69  0  0
 7  0      0 64636968 147964 1120660    0    0     0    19 30802 267624 20 12 69  0  0
 3  0      0 64526716 147964 1120660    0    0     0     0 30999 269220 20 12 68  0  0
10  0      0 64523764 147964 1120660    0    0     0     6 30963 273563 20 12 69  0  0
12  0      0 64509848 147964 1120692    0    0     0     6 29823 261967 19 12 69  0  0
13  0      0 64524204 147964 1120660    0    0     0     6 29418 259725 19 12 70  0  0
11  0      0 64519796 147964 1120700    0    0     0    18 30293 267834 19 12 69  0  0
10  0      0 64514652 147964 1120700    0    0     0    29 30442 266015 20 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 64496336 147964 1120736    0    0     0     6 29829 263721 19 12 69  0  0
 6  0      0 64514960 147968 1120704    0    0     0     9 29411 261814 19 12 69  0  0
 6  0      0 64507704 147968 1120704    0    0     0     0 30655 268890 19 12 69  0  0
 8  0      0 64464404 147972 1120704    0    0     0     6 30434 266789 20 12 69  0  0
 8  0      0 64423204 147972 1120736    0    0     0    15 30053 266151 19 11 69  0  0
10  0      0 64457324 147972 1120704    0    0     0    22 28876 256363 19 12 70  0  0
 7  0      0 64456404 147972 1120708    0    0     0    11 30409 267251 19 12 69  0  0
 9  0      0 64450832 147976 1120708    0    0     0    11 30364 265698 20 12 69  0  0
10  0      0 64448732 147976 1120708    0    0     0     6 30520 265624 19 12 69  0  0
12  0      0 64428724 147976 1120740    0    0     0     6 28977 257767 19 12 69  0  0
11  0      0 64447468 147984 1120740    0    0     0    35 29850 263677 19 12 69  0  0
17  0      0 64447204 147988 1120740    0    0     0    14 28620 254766 19 12 70  0  0
16  0      0 64439348 147988 1120740    0    0     0    16 29166 256544 19 12 70  0  0
11  0      0 64439468 147992 1120744    0    0     0     7 28907 255822 19 12 70  0  0
16  0      0 64422676 147996 1120776    0    0     0     2 28865 255505 19 12 70  0  0
12  0      0 64421932 148004 1120776    0    0     0    11 29522 261346 19 12 69  0  0
 7  0      0 64433080 148004 1120744    0    0     0     8 29682 261102 19 12 69  0  0
 5  0      0 64433140 148008 1120744    0    0     0    14 28952 253882 18 12 70  0  0
 6  0      0 64416556 148012 1120776    0    0     0    26 29004 256947 19 12 70  0  0
 6  0      0 64416268 148012 1120776    0    0     0     8 29410 260408 19 12 69  0  0
11  0      0 64431740 148016 1120788    0    0     0     6 29670 260632 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 64432688 148016 1120788    0    0     0     6 28893 254603 19 11 70  0  0
 4  0      0 64429204 148016 1120792    0    0     0    10 28789 254880 19 12 70  0  0
14  0      0 64427352 148016 1120792    0    0     0    10 29219 259852 19 12 70  0  0
11  0      0 64423676 148020 1120792    0    0     0    22 29746 262116 19 12 69  0  0
13  0      0 64422312 148020 1120792    0    0     0    12 29177 255450 19 12 70  0  0
11  0      0 64424124 148020 1120796    0    0     0     5 28761 253092 18 11 70  0  0
 8  0      0 64408664 148020 1120828    0    0     0     2 29086 257061 19 12 70  0  0
48  0      0 64390972 148020 1120828    0    0     0    10 96143 597302 60 21 19  0  0
 8  0      0 64395936 148020 1120796    0    0     0    18 33265 280970 22 12 66  0  0
 9  0      0 64397200 148020 1120796    0    0     0    19 29227 258010 19 12 69  0  0
12  0      0 64379284 148020 1120796    0    0     0    12 29194 258316 19 12 69  0  0
 7  0      0 64382032 148024 1120796    0    0     0     6 29768 264396 19 12 69  0  0
 6  0      0 64397960 148024 1120800    0    0     0     8 29724 263008 19 12 69  0  0
 7  0      0 64398244 148024 1120800    0    0     0    10 29439 259913 19 12 69  0  0
 6  0      0 64395620 148028 1120800    0    0     0    10 29120 257610 19 12 69  0  0
10  0      0 64393868 148028 1120800    0    0     0    16 29874 264127 19 12 69  0  0
 8  0      0 64393856 148032 1120800    0    0     0    20 29742 264397 19 12 69  0  0
13  0      0 64387488 148036 1120800    0    0     0     6 29565 259883 19 12 69  0  0
 8  0      0 64388096 148036 1120800    0    0     0     2 29147 258173 19 12 70  0  0
15  0      0 64387396 148036 1120804    0    0     0     6 29765 262695 19 12 69  0  0
11  0      0 64388420 148040 1120804    0    0     0     9 29958 266413 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 64386560 148040 1120844    0    0     0    19 29328 259359 19 12 69  0  0
 9  0      0 64389316 148040 1120844    0    0     0    15 29110 258359 19 12 69  0  0
11  0      0 64368052 148040 1120876    0    0     0     5 29966 264846 19 12 69  0  0
 6  0      0 64385940 148040 1120844    0    0     0     6 30256 266781 19 12 69  0  0
 7  0      0 64380720 148044 1120840    0    0     0    10 30871 270163 20 12 69  0  0
12  0      0 64362068 148044 1120840    0    0     0    18 29579 262965 19 12 69  0  0
 9  0      0 64379780 148044 1120840    0    0     0    16 30675 268730 19 12 69  0  0
 6  0      0 64380140 148044 1120840    0    0     0    25 30929 273294 20 12 68  0  0
 6  0      0 64378676 148048 1120840    0    0     0     6 30768 272309 19 12 69  0  0
10  0      0 64357116 148056 1120872    0    0     0    13 29648 263685 19 12 69  0  0
14  0      0 64378116 148064 1120840    0    0     0     9 30439 267330 19 12 69  0  0
12  0      0 64377028 148064 1120844    0    0     0     4 30844 271713 20 12 68  0  0
14  0      0 64375692 148068 1120844    0    0     0    22 31048 273542 20 12 69  0  0
10  0      0 64370508 148068 1120876    0    0     0    34 30660 269345 20 12 68  0  0
11  0      0 64372028 148068 1120844    0    0     0     6 29476 259230 19 12 69  0  0
 7  0      0 64371052 148068 1120844    0    0     0     6 30698 272039 19 12 69  0  0
 9  0      0 64371580 148068 1120844    0    0     0    15 30503 272049 19 12 69  0  0
15  0      0 64371500 148072 1120844    0    0     0     6 30713 272780 20 12 69  0  0
 4  0      0 64354168 148072 1120848    0    0     0    20 29450 262406 19 12 69  0  0
 8  0      0 64370752 148072 1120848    0    0     0   288 30388 266315 19 12 69  0  0
 9  0      0 64370308 148072 1120848    0    0     0    10 30654 270011 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 64366616 148076 1120848    0    0     0     6 31064 273362 20 12 68  0  0
17  0      0 64350392 148076 1120924    0    0     0     9 30132 266330 19 12 69  0  0
 5  0      0 64366648 148076 1120896    0    0     0     6 29861 265072 19 12 69  0  0
 7  0      0 64365668 148076 1120896    0    0     0    14 31309 273389 20 12 68  0  0
 4  0      0 64365656 148084 1120900    0    0     0    12 30630 270327 19 12 69  0  0
12  0      0 64364944 148084 1120932    0    0     0    22 30746 271744 20 12 69  0  0
 4  0      0 64349484 148084 1120900    0    0     0     6 29195 259259 19 12 70  0  0
 7  0      0 64365904 148084 1120900    0    0     0     9 29620 262290 19 12 69  0  0
13  0      0 64362392 148084 1120900    0    0     0     0 30294 264504 19 12 69  0  0
11  0      0 64361712 148084 1120900    0    0     0    12 29223 258588 19 12 69  0  0
 8  0      0 64360936 148084 1120936    0    0     0    19 30542 269399 20 12 69  0  0
 9  0      0 64361432 148084 1120904    0    0     0    22 29145 258543 19 12 70  0  0
10  0      0 64343552 148088 1120936    0    0     0     5 29627 261562 19 12 69  0  0
 5  0      0 64359980 148092 1120904    0    0     0    10 30660 268836 19 12 69  0  0
 9  0      0 64361800 148092 1120904    0    0     0     6 29201 260174 19 12 69  0  0
12  0      0 64342256 148092 1120936    0    0     0     8 30065 266971 19 12 69  0  0
 9  0      0 64360032 148092 1120904    0    0     0    18 30006 262565 19 12 69  0  0
12  0      0 64345792 148092 1120940    0    0     0    13 29223 258380 19 12 69  0  0
 8  0      0 64357644 148096 1120908    0    0     0    10 30352 268048 19 12 69  0  0
15  0      0 64359088 148096 1120908    0    0     0    11 29397 258867 19 12 69  0  0
 8  0      0 64359592 148096 1120940    0    0     0     0 30104 265109 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 64358248 148096 1120908    0    0     0    12 30055 264967 19 12 69  0  0
14  0      0 64358184 148096 1120908    0    0     0    18 29049 257684 19 12 70  0  0
 4  0      0 64357940 148104 1120948    0    0     0    16 30869 271033 20 12 68  0  0
10  0      0 64358104 148104 1120952    0    0     0     9 30730 270491 19 12 69  0  0
 7  0      0 64333540 148104 1120984    0    0     0     9 30553 268558 20 12 69  0  0
14  0      0 64352288 148112 1120944    0    0     0     8 29688 259899 19 12 69  0  0
 4  0      0 64352928 148112 1120952    0    0     0     3 30840 272896 20 12 69  0  0
10  0      0 64352176 148116 1120948    0    0     0    19 31063 273379 20 12 68  0  0
 8  0      0 64352032 148120 1120948    0    0     0    21 30666 270994 19 12 69  0  0
