procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0      0 69361072 144012 1084276    0    0     0     0    6    2 12  7 81  0  0
38  0      0 68711024 144012 1084576    0    0     0     0 9629 11797 10  1 89  0  0
11  0      0 67166784 144012 1084632    0    0     0    79 41518 169239 56 10 34  0  0
17  0      0 65764580 144012 1084632    0    0     0    20 37455 198281 35 12 53  0  0
11  0      0 65094892 144012 1084632    0    0     0     6 41267 233055 27 14 58  0  0
 7  0      0 64966664 144012 1084632    0    0     0     9 36226 239139 22 14 64  0  0
 6  0      0 64678192 144012 1084632    0    0     0     0 35992 231329 22 14 64  0  0
14  0      0 64677344 144012 1084668    0    0     0    70 36177 238091 22 14 64  0  0
18  0      0 64573552 144012 1084668    0    0     0     0 36580 238988 22 14 64  0  0
 9  0      0 64527656 144012 1084636    0    0     0     9 36166 234842 22 14 64  0  0
 8  0      0 64525604 144012 1084636    0    0     0    14 35256 233368 22 14 65  0  0
 9  0      0 64458512 144012 1084668    0    0     0     0 36414 236449 22 14 64  0  0
13  0      0 64459540 144012 1084668    0    0     0     9 36478 240721 22 14 64  0  0
 8  0      0 64415032 144016 1084632    0    0     0    38 35858 234965 22 14 64  0  0
 6  0      0 64346484 144016 1084640    0    0     0     8 36191 234753 22 14 64  0  0
11  0      0 64333180 144020 1084672    0    0     0     2 35700 235521 22 14 65  0  0
 5  0      0 64282464 144020 1084672    0    0     0     6 52494 230454 34 16 50  0  0
 0  0      0 64271796 144020 1084640    0    0     0     6 54571 232207 36 16 48  0  0
 0  0      0 64232912 144020 1084640    0    0     0     0 54239 226234 35 16 48  0  0
 0  0      0 64194332 144020 1084640    0    0     0    39 53277 222287 35 16 48  0  0
 2  0      0 64166144 144020 1084680    0    0     0    10 54646 231735 36 16 48  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 64111276 144020 1084684    0    0     0    13 53668 226326 35 16 49  0  0
 0  0      0 64103464 144024 1084684    0    0     0     6 53691 226304 35 16 48  0  0
 2  0      0 64034940 144024 1084684    0    0     0     0 53564 220830 35 16 49  0  0
 0  0      0 64034188 144024 1084716    0    0     0     0 53926 230303 36 16 48  0  0
 1  0      0 63951320 144028 1084716    0    0     0    34 53920 224624 35 16 49  0  0
15  0      0 63952188 144032 1084684    0    0     0    14 52915 222293 35 16 49  0  0
 0  0      0 63873764 144036 1084688    0    0     0     6 53515 221900 35 16 49  0  0
 2  0      0 63856872 144044 1084720    0    0     0     6 52668 221608 35 16 49  0  0
 3  0      0 63796412 144044 1084720    0    0     0     0 54851 230960 36 16 48  0  0
