procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 69325200 141936 1070116    0    0     0     0    9    0 12  6 82  0  0
11  0      0 67443472 141936 1070500    0    0     0    90 37550 141107 50  9 42  0  0
21  0      0 66066632 141940 1070468    0    0     0    15 38312 190480 41 12 47  0  0
 5  0      0 65131044 141940 1070468    0    0     0     0 39005 242499 26 14 60  0  0
21  0      0 64953084 141944 1070468    0    0     0    26 50124 246890 31 16 53  0  0
28  0      0 64678112 141948 1070500    0    0     0     6 55060 233306 36 16 47  0  0
 3  0      0 64650792 141948 1070468    0    0     0     9 54794 232323 36 16 48  0  0
22  0      0 64540156 141948 1070472    0    0     0    64 38981 249621 24 14 62  0  0
11  0      0 64467308 141948 1070472    0    0     0     6 38566 250597 23 14 63  0  0
14  0      0 64428676 141948 1070504    0    0     0     6 36859 242122 23 14 63  0  0
 8  0      0 64405952 141948 1070472    0    0     0     6 36390 238244 22 14 64  0  0
 9  0      0 64373400 141948 1070472    0    0     0     0 38075 248487 23 14 63  0  0
24  0      0 64336912 141948 1070472    0    0     0     9 37587 246282 23 14 63  0  0
 6  0      0 64260640 141948 1070504    0    0     0    50 38338 245603 23 14 63  0  0
 8  0      0 64260988 141952 1070476    0    0     0     6 36888 242623 22 14 64  0  0
11  0      0 64228676 141952 1070476    0    0     0     0 38053 247627 23 14 63  0  0
 7  0      0 64184628 141952 1070476    0    0     0     6 37883 246414 23 14 63  0  0
11  0      0 64181652 141952 1070476    0    0     0     6 37803 249408 23 14 63  0  0
12  0      0 64093320 141956 1070508    0    0     0     7 36846 239544 22 14 64  0  0
13  0      0 64108584 141956 1070516    0    0     0    46 36946 243268 23 14 64  0  0
 3  0      0 64088680 141956 1070516    0    0     0     3 37678 247330 23 14 63  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 64030496 141956 1070520    0    0     0     6 38149 248081 23 14 63  0  0
15  0      0 64015716 141960 1070552    0    0     0     6 36754 242799 22 14 64  0  0
 9  0      0 63975476 141964 1070516    0    0     0     9 36781 239160 22 14 64  0  0
19  0      0 63953156 141964 1070520    0    0     0     0 37896 247186 23 14 63  0  0
10  0      0 63945912 141964 1070520    0    0     0    34 37925 250162 23 14 63  0  0
10  0      0 63874540 141964 1070552    0    0     0    19 38196 246108 22 14 63  0  0
 9  0      0 63863632 141964 1070524    0    0     0     9 35723 235756 22 14 64  0  0
16  0      0 63843140 141964 1070524    0    0     0     6 37984 247823 23 14 63  0  0
 9  0      0 63800528 141964 1070524    0    0     0     0 38230 248798 23 14 63  0  0
 9  0      0 63800832 141964 1070524    0    0     0     6 37923 250002 23 14 63  0  0
 5  0      0 63706920 141964 1070556    0    0     0    19 37067 240386 22 14 63  0  0
11  0      0 63724956 141972 1070560    0    0     0    47 36640 242061 22 14 64  0  0
 5  0      0 63703304 141972 1070560    0    0     0     4 36074 236476 22 14 64  0  0
24  0      0 63648332 141972 1070564    0    0     0     6 36298 236498 22 14 64  0  0
11  0      0 63650512 141972 1070564    0    0     0     0 35710 235709 22 14 64  0  0
11  0      0 63604836 141972 1070564    0    0     0     6 35983 235249 22 14 64  0  0
 7  0      0 63571516 141972 1070564    0    0     0    16 35898 235822 22 14 64  0  0
 4  0      0 63567092 141972 1070564    0    0     0    10 35879 235877 22 14 64  0  0
23  0      0 63499024 141972 1070564    0    0     0    28 36205 235283 22 14 64  0  0
16  0      0 63492204 141972 1070564    0    0     0     0 35768 236390 22 14 64  0  0
13  0      0 63474040 141972 1070608    0    0     0     6 35683 235404 22 14 64  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 63415060 141972 1070608    0    0     0     0 36348 235688 22 14 64  0  0
 6  0      0 63415064 141972 1070616    0    0     0    20 35533 235136 22 14 64  0  0
11  0      0 63373244 141984 1070616    0    0     0    30 36035 234545 22 14 64  0  0
38  0      0 63318208 141988 1070648    0    0     0    26 49507 230235 32 16 52  0  0
49  0      0 63297624 141988 1070648    0    0     0    11 55055 232282 36 16 48  0  0
46  0      0 63261696 141988 1070620    0    0     0     0 55681 238120 36 17 48  0  0
