procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 64070680 142720 1075364    0    0     0     0    6    4 12  6 82  0  0
 1  0      0 61780320 142720 1075748    0    0     0     0 36762 90198 44  9 47  0  0
24  0      0 59873304 142720 1075716    0    0     0    79 39071 125120 37 12 51  0  0
 9  0      0 59561408 142720 1075716    0    0     0     6 38141 135470 29 12 60  0  0
 3  0      0 59453516 142724 1075716    0    0     0     6 38901 140847 28 12 60  0  0
28  0      0 59337476 142728 1075748    0    0     0     6 35207 139919 20 12 69  0  0
22  0      0 59378572 142728 1075716    0    0     0     9 35104 138705 18 12 70  0  0
18  0      0 59379672 142728 1075720    0    0     0    73 36682 147610 19 12 68  0  0
14  0      0 59353120 142732 1075720    0    0     0     6 36279 146502 19 12 69  0  0
14  0      0 59318756 142732 1075752    0    0     0     9 35792 146076 19 12 69  0  0
 1  0      0 59336040 142732 1075720    0    0     0     6 34717 137380 18 12 70  0  0
 1  0      0 59333364 142732 1075720    0    0     0     0 37344 136720 21 12 67  0  0
 1  0      0 59325952 142736 1075720    0    0     0     6 38421 135409 21 12 67  0  0
 0  0      0 59322248 142740 1075752    0    0     0    37 37874 136779 23 12 65  0  0
 1  0      0 59324992 142740 1075724    0    0     0    23 36157 129080 21 12 68  0  0
45  0      0 59324896 142740 1075724    0    0     0     6 37872 133691 21 12 67  0  0
11  0      0 59324188 142740 1075724    0    0     0     0 37129 129579 20 11 69  0  0
 1  0      0 59320404 142744 1075724    0    0     0     6 38686 138689 22 12 66  0  0
 3  0      0 59308700 142748 1075756    0    0     0     6 36073 128827 20 11 69  0  0
28  0      0 59325768 142748 1075764    0    0     0    34 37672 134589 21 12 68  0  0
 7  0      0 59322336 142748 1075764    0    0     0     3 39243 137072 22 12 66  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 59322444 142752 1075768    0    0     0    21 37614 132335 21 12 67  0  0
 4  0      0 59319440 142752 1075768    0    0     0    11 35821 130808 20 12 68  0  0
47  0      0 59321296 142756 1075796    0    0     0    22 35958 127862 20 11 69  0  0
 6  0      0 59319380 142756 1075796    0    0     0     3 35207 123744 20 11 69  0  0
 2  0      0 59322168 142756 1075796    0    0     0     4 36203 128286 20 12 68  0  0
 2  0      0 59319864 142756 1075796    0    0     0    29 36121 127184 20 11 69  0  0
 2  0      0 59320384 142764 1075800    0    0     0     9 36067 130226 20 12 68  0  0
16  0      0 59325520 142768 1075800    0    0     0    14 35795 130850 20 12 68  0  0
22  0      0 59306892 142768 1075832    0    0     0     4 36076 128290 21 12 68  0  0
 3  0      0 59303088 142768 1075832    0    0     0     6 36492 131513 21 12 68  0  0
26  0      0 59327108 142772 1075800    0    0     0     6 36132 130686 20 11 68  0  0
 1  0      0 59326884 142772 1075800    0    0     0    22 35973 128800 20 12 69  0  0
29  0      0 59310560 142772 1075832    0    0     0    17 36073 126554 20 11 68  0  0
 1  0      0 59323380 142772 1075836    0    0     0     9 36781 130298 21 12 68  0  0
 2  0      0 59345316 142772 1075804    0    0     0    18 37615 139197 21 12 68  0  0
14  0      0 59348816 142772 1075804    0    0     0     5 36203 129735 20 12 68  0  0
20  0      0 59339408 142776 1075836    0    0     0     2 34498 135281 18 12 71  0  0
29  0      0 59342136 142780 1075836    0    0     0    26 34949 139785 18 12 70  0  0
17  0      0 59358500 142780 1075804    0    0     0    14 33832 133659 17 11 71  0  0
24  0      0 59364336 142780 1075804    0    0     0     6 34191 138066 17 12 71  0  0
 1  0      0 59366392 142780 1075848    0    0     0     3 36225 131644 20 12 68  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 59373672 142780 1075848    0    0     0    12 36126 131355 21 12 67  0  0
14  0      0 59379728 142784 1075852    0    0     0     6 36895 131808 21 12 67  0  0
 1  0      0 59382212 142788 1075852    0    0     0     6 35484 128297 20 12 68  0  0
10  0      0 59384460 142796 1075852    0    0     0    23 35987 128140 20 12 68  0  0
45  0      0 59362444 142796 1075884    0    0     0     6 36571 130885 20 11 68  0  0
 1  0      0 59369400 142800 1075888    0    0     0     6 35810 126947 20 11 69  0  0
 6  0      0 59395308 142804 1075856    0    0     0    15 36268 127586 20 11 68  0  0
