procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 64514280 141728 1067124    0    0     0     6 29238 255610 19 12 70  0  0
 4  0      0 64497476 141728 1067124    0    0     0     0 28722 255395 18 12 70  0  0
11  0      0 64513952 141728 1067124    0    0     0     6 30451 267858 20 12 69  0  0
17  0      0 64506580 141728 1067124    0    0     0    14 30801 266591 20 12 69  0  0
 5  0      0 64506376 141728 1067128    0    0     0    10 30567 267694 19 12 69  0  0
13  0      0 64484104 141732 1067160    0    0     0    25 29726 263490 19 12 69  0  0
14  0      0 64505148 141736 1067124    0    0     0    21 29390 257503 19 12 69  0  0
12  0      0 64505524 141736 1067128    0    0     0     0 30519 266635 19 12 69  0  0
 5  0      0 64505804 141736 1067128    0    0     0     6 30472 268370 19 12 69  0  0
 6  0      0 64504056 141736 1067128    0    0     0    14 30406 265521 19 12 69  0  0
12  0      0 64486444 141740 1067128    0    0     0     9 29257 256320 19 12 70  0  0
16  0      0 64497704 141740 1067132    0    0     0    19 30043 262604 19 12 69  0  0
 7  0      0 64496624 141740 1067132    0    0     0    21 30366 266802 19 12 69  0  0
10  0      0 64495100 141740 1067132    0    0     0     0 30599 268042 19 12 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 64482688 141744 1067164    0    0     0     6 29565 261357 19 12 69  0  0
10  0      0 64495776 141744 1067180    0    0     0    13 29478 258075 19 12 69  0  0
 9  0      0 64495412 141744 1067180    0    0     0     9 30525 267362 19 12 69  0  0
 9  0      0 64492868 141744 1067184    0    0     0    10 30418 267717 19 12 69  0  0
 5  0      0 64490976 141748 1067216    0    0     0    26 30244 266106 19 12 69  0  0
11  0      0 64469984 141748 1067184    0    0     0    10 29187 254343 19 12 69  0  0
 9  0      0 64485944 141748 1067184    0    0     0     6 30394 265660 19 12 69  0  0
13  0      0 64486020 141748 1067184    0    0     0     6 30265 267315 19 12 69  0  0
 8  0      0 64486272 141756 1067184    0    0     0     6 30436 267293 19 12 69  0  0
 9  0      0 64468184 141756 1067188    0    0     0    16 29834 263103 19 12 69  0  0
 8  0      0 64486324 141756 1067188    0    0     0    18 29275 258336 19 12 70  0  0
 5  0      0 64486732 141764 1067180    0    0     0    14 30230 264031 19 12 69  0  0
 7  0      0 64484864 141764 1067188    0    0     0    10 30335 266708 19 12 69  0  0
12  0      0 64483920 141764 1067188    0    0     0     4 28843 253933 18 12 70  0  0
 8  0      0 64463000 141768 1067188    0    0     0     6 29708 259657 19 11 69  0  0
 9  0      0 64478320 141772 1067188    0    0     0    18 29488 258285 19 12 70  0  0
 8  0      0 64477748 141772 1067192    0    0     0    19 28658 253823 18 12 70  0  0
11  0      0 64461584 141772 1067192    0    0     0     9 29628 261263 19 12 69  0  0
 8  0      0 64478368 141772 1067192    0    0     0     6 29806 259836 19 12 69  0  0
 6  0      0 64477896 141780 1067192    0    0     0    13 28828 254814 18 12 70  0  0
14  0      0 64464096 141780 1067192    0    0     0     9 29594 261038 19 12 70  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 64476220 141780 1067192    0    0     0    10 29704 260636 19 12 69  0  0
11  0      0 64472668 141784 1067192    0    0     0    10 28753 252820 19 12 70  0  0
 4  0      0 64457116 141788 1067236    0    0     0    21 29738 262795 19 12 69  0  0
11  0      0 64471620 141788 1067236    0    0     0    10 29462 260868 19 12 69  0  0
 7  0      0 64472988 141788 1067236    0    0     0     3 28793 254094 18 12 70  0  0
 9  0      0 64471792 141788 1067236    0    0     0     9 29459 260283 19 12 70  0  0
10  0      0 64471524 141788 1067236    0    0     0     9 29687 259692 19 12 70  0  0
15  0      0 64471640 141792 1067232    0    0     0    26 28859 253806 18 12 70  0  0
10  0      0 64451260 141792 1067268    0    0     0    15 29616 258811 19 12 70  0  0
11  0      0 64468904 141792 1067236    0    0     0     9 29776 262412 19 12 69  0  0
10  0      0 64465356 141792 1067236    0    0     0     3 29040 251879 19 12 70  0  0
 6  0      0 64451348 141792 1067268    0    0     0    10 28953 254802 19 12 70  0  0
10  0      0 64464572 141796 1067236    0    0     0    16 29911 264084 19 12 69  0  0
