procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 64173572 144496 1087776    0    0     0     0    1    6 12  7 81  0  0
15  0      0 62064692 144500 1088128    0    0     0    78 38104 119324 48  9 43  0  0
32  0      0 60213656 144504 1088164    0    0     0    22 39173 165345 38 12 50  0  0
42  0      0 59834524 144508 1088132    0    0     0     6 45483 170398 35 12 53  0  0
 2  0      0 59572848 144512 1088132    0    0     0     2 45176 167901 28 13 58  0  0
 0  0      0 59363240 144512 1088132    0    0     0     0 46377 166071 27 13 60  0  0
43  0      0 59176548 144512 1088132    0    0     0    17 46176 171282 28 13 59  0  0
 1  0      0 59181244 144512 1088136    0    0     0    70 46173 164238 27 13 60  0  0
32  0      0 59197056 144512 1088136    0    0     0     6 44526 161370 26 13 60  0  0
13  0      0 59183328 144516 1088136    0    0     0     6 45057 176774 26 13 60  0  0
 4  0      0 59123180 144520 1088136    0    0     0     6 38706 197577 21 14 65  0  0
21  0      0 59122060 144520 1088136    0    0     0     6 39401 197473 21 13 65  0  0
 9  0      0 59117844 144520 1088136    0    0     0     0 38291 192300 21 13 66  0  0
 6  0      0 59115048 144520 1088140    0    0     0    40 38438 193028 21 13 65  0  0
 9  0      0 59108456 144520 1088140    0    0     0     9 39351 198570 22 14 65  0  0
 1  0      0 59026604 144524 1088140    0    0     0     6 77748 187027 24 14 62  0  0
 2  0      0 59028768 144524 1088140    0    0     0    10 45141 169284 27 13 59  0  0
 1  0      0 59031236 144524 1088140    0    0     0     0 44872 166103 27 13 59  0  0
 2  0      0 59012172 144528 1088172    0    0     0     6 45500 168048 27 14 59  0  0
18  0      0 59002760 144528 1088212    0    0     0     0 39364 194902 22 13 65  0  0
 4  0      0 59023148 144532 1088184    0    0     0    46 37695 192935 21 14 66  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0      0 59025424 144532 1088184    0    0     0    10 37508 193512 21 13 66  0  0
 7  0      0 59006396 144536 1088216    0    0     0     2 37308 191939 21 13 66  0  0
17  0      0 59008604 144536 1088216    0    0     0     9 38551 201071 22 14 65  0  0
 8  0      0 59023524 144536 1088184    0    0     0     6 37469 190256 21 13 66  0  0
27  0      0 59021076 144536 1088184    0    0     0     0 37974 188658 21 13 65  0  0
10  0      0 59009100 144540 1088216    0    0     0    32 45139 168875 27 14 60  0  0
 1  0      0 59006028 144540 1088220    0    0     0    10 45319 166788 27 13 60  0  0
36  0      0 59019952 144540 1088188    0    0     0     6 45492 170955 27 13 60  0  0
 1  0      0 59021312 144540 1088188    0    0     0     7 43543 178600 26 14 60  0  0
40  0      0 59020856 144544 1088188    0    0     0     9 43758 180510 25 13 61  0  0
