procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 64051932 144916 1092268    0    0     0     0    3    5 12  7 81  0  0
20  0      0 63438576 144916 1092568    0    0     0    73 9070 10511  9  1 90  0  0
 1  0      0 61270816 144928 1092616    0    0     0    18 38059 109550 44 11 46  0  0
16  0      0 59728988 144928 1092624    0    0     0     0 37178 112085 36 12 52  0  0
16  0      0 59602320 144928 1092624    0    0     0     6 35669 129311 26 12 62  0  0
16  0      0 59453900 144932 1092624    0    0     0     6 36245 134230 26 11 63  0  0
 3  0      0 59405460 144932 1092624    0    0     0     3 33975 137174 18 12 70  0  0
 0  0      0 59397816 144936 1092628    0    0     0     2 35171 141986 19 12 69  0  0
 0  0      0 59422720 144936 1092628    0    0     0    73 33978 136195 18 12 70  0  0
 9  0      0 59421156 144940 1092628    0    0     0    15 33849 134732 17 12 71  0  0
18  0      0 59380324 144940 1092628    0    0     0     0 33644 136856 18 12 70  0  0
26  0      0 59346452 144940 1092660    0    0     0     0 34487 138425 18 12 70  0  0
 2  0      0 59379612 144940 1092660    0    0     0     6 35253 142370 18 12 69  0  0
 1  0      0 59367940 144944 1092628    0    0     0     9 34283 130818 18 12 70  0  0
 0  0      0 59372164 144944 1092632    0    0     0     4 35551 124560 21 12 68  0  0
36  0      0 59367548 144944 1092632    0    0     0    38 37767 131205 21 11 68  0  0
 3  0      0 59370744 144952 1092632    0    0     0     6 37478 127069 20 12 68  0  0
26  0      0 59340176 144956 1092664    0    0     0     6 35489 128854 20 11 69  0  0
15  0      0 59366664 144960 1092628    0    0     0     6 36432 131982 20 12 68  0  0
 5  0      0 59366924 144960 1092632    0    0     0     0 37359 128671 21 12 68  0  0
 4  0      0 59365272 144960 1092672    0    0     0    12 37448 128520 20 11 68  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 59365136 144964 1092708    0    0     0    30 38290 132806 21 12 68  0  0
51  0      0 59345940 144968 1092676    0    0     0    22 36564 129083 20 12 68  0  0
 2  0      0 59364852 144968 1092676    0    0     0     2 37053 128838 20 11 68  0  0
 1  0      0 59364528 144968 1092676    0    0     0     6 37060 129937 20 11 68  0  0
 1  0      0 59363744 144968 1092676    0    0     0     6 37394 130335 21 12 68  0  0
 1  0      0 59342796 144968 1092708    0    0     0     6 36462 126101 20 11 68  0  0
11  0      0 59361836 144968 1092680    0    0     0    21 36377 128396 20 11 69  0  0
 2  0      0 59362584 144968 1092680    0    0     0    27 37710 135612 22 12 66  0  0
41  0      0 59368348 144968 1092680    0    0     0     4 38823 135942 22 12 66  0  0
14  0      0 59359736 144972 1092712    0    0     0     6 37810 135682 21 12 67  0  0
21  0      0 59366660 144972 1092680    0    0     0     9 37511 133574 20 12 68  0  0
 4  0      0 59359920 144972 1092680    0    0     0     0 37249 131499 21 11 68  0  0
 1  0      0 59366324 144972 1092680    0    0     0    14 37046 129526 20 11 68  0  0
 9  0      0 59345644 144976 1092716    0    0     0    36 37454 130737 21 12 67  0  0
50  0      0 59375388 144976 1092684    0    0     0     6 36773 131221 21 12 68  0  0
 1  0      0 59373916 144976 1092684    0    0     0     4 39197 135899 22 12 66  0  0
47  0      0 59383456 144976 1092684    0    0     0     6 39133 139473 22 12 66  0  0
 6  0      0 59376612 144976 1092716    0    0     0     7 38830 137279 22 12 66  0  0
 1  0      0 59410268 144980 1092684    0    0     0     6 36362 130885 20 12 68  0  0
32  0      0 59409144 144980 1092684    0    0     0    32 36102 130272 21 12 68  0  0
27  0      0 59433724 144984 1092688    0    0     0    13 39179 139652 22 12 66  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 59451740 144984 1092728    0    0     0    10 36973 129642 21 12 68  0  0
34  0      0 59436564 144988 1092764    0    0     0     7 36773 132393 21 12 67  0  0
 9  0      0 59474016 144992 1092736    0    0     0     6 36047 133462 19 12 69  0  0
15  0      0 59485264 144992 1092736    0    0     0     6 33190 133257 17 11 72  0  0
27  0      0 59478072 144992 1092736    0    0     0    28 33477 132729 17 11 72  0  0
16  0      0 59507488 144992 1092740    0    0     0     9 34116 136404 17 12 71  0  0
 4  0      0 59528404 144996 1092740    0    0     0    12 33777 138928 17 12 71  0  0
15  0      0 59539004 145000 1092740    0    0     0     6 35043 138905 18 12 70  0  0
18  0      0 59552412 145004 1092740    0    0     0     6 33659 134073 17 12 71  0  0
 1  0      0 59523560 145004 1092772    0    0     0     0 34539 136850 18 12 70  0  0
 5  0      0 59567324 145012 1092740    0    0     0    34 37446 129360 20 11 68  0  0
 0  0      0 59584120 145012 1092740    0    0     0    12 36431 135340 20 12 68  0  0
37  0      0 59588128 145020 1092744    0    0     0     2 37336 128301 20 12 68  0  0
 2  0      0 59599552 145020 1092744    0    0     0    16 37338 129885 21 12 68  0  0
 1  0      0 59612912 145020 1092744    0    0     0     2 35502 124894 20 12 69  0  0
 0  0      0 59612320 145020 1092744    0    0     0     0 38287 136217 22 12 66  0  0
 4  0      0 59623112 145020 1092744    0    0     0    34 38951 138765 22 12 66  0  0
 3  0      0 59608452 145020 1092776    0    0     0     6 37965 130244 21 12 68  0  0
13  0      0 59641040 145024 1092740    0    0     0    14 35973 127624 20 11 69  0  0
 1  0      0 59638308 145024 1092748    0    0     0     2 38890 138418 21 12 67  0  0
28  0      0 59645212 145028 1092748    0    0     0    12 38995 140094 22 12 66  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 59651212 145028 1092780    0    0     0     6 39213 141165 22 12 65  0  0
 7  0      0 59639108 145032 1092788    0    0     0    25 36200 129215 20 12 68  0  0
 0  0      0 59664572 145032 1092788    0    0     0     3 39267 138107 22 12 66  0  0
 5  0      0 59667996 145032 1092788    0    0     0    13 39080 139848 22 12 65  0  0
