procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 69209888 146324 1104632    0    0     0     0    5    8 12  7 81  0  0
23  0      0 67140968 146328 1104980    0    0     0    80 42682 152719 59  9 32  0  0
12  0      0 65673360 146340 1104988    0    0     0    15 40338 215031 40 12 49  0  0
19  0      0 64978480 146340 1104988    0    0     0     0 38654 248927 24 14 62  0  0
16  0      0 64836496 146348 1105020    0    0     0     6 37484 247595 23 14 63  0  0
13  0      0 64510128 146348 1104988    0    0     0    19 36514 239325 23 14 63  0  0
15  0      0 64296128 146348 1104988    0    0     0     0 47066 229203 31 15 54  0  0
19  0      0 64133536 146352 1104992    0    0     0    70 35830 236001 22 14 64  0  0
 6  0      0 64077936 146352 1104992    0    0     0     0 37696 246956 23 14 63  0  0
 8  0      0 64063344 146352 1104992    0    0     0     6 35743 237051 22 14 64  0  0
 7  0      0 64028772 146352 1104992    0    0     0     0 37256 245052 23 14 63  0  0
37  0      0 63976132 146360 1104992    0    0     0     9 47380 231917 31 15 55  0  0
30  0      0 63917880 146364 1104992    0    0     0     9 51564 222671 34 16 50  0  0
40  0      0 63844732 146372 1105028    0    0     0    39 55299 242684 35 16 49  0  0
29  0      0 63846656 146376 1104996    0    0     0    14 51720 224714 34 15 51  0  0
33  0      0 63748568 146380 1105028    0    0     0     2 53312 227037 35 16 50  0  0
 0  0      0 63760528 146384 1104992    0    0     0     6 53614 233754 34 16 50  0  0
 1  0      0 63684920 146384 1104996    0    0     0     0 51327 217016 34 15 51  0  0
18  0      0 63667720 146384 1104996    0    0     0     6 53390 232829 35 15 50  0  0
20  0      0 63606540 146388 1105032    0    0     0    25 50058 227691 32 15 52  0  0
 5  0      0 63598404 146388 1105040    0    0     0    29 35568 235855 22 14 64  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 63567360 146388 1105040    0    0     0     6 37600 248860 23 14 64  0  0
 7  0      0 63520084 146388 1105040    0    0     0     0 36397 238910 22 14 64  0  0
 1  0      0 63520064 146392 1105072    0    0     0     7 40778 239583 25 14 61  0  0
 9  0      0 63428380 146396 1105040    0    0     0     6 53295 226988 35 16 49  0  0
51  0      0 63449620 146396 1105040    0    0     0    14 53934 234100 35 16 50  0  0
 7  0      0 63372164 146404 1105044    0    0     0    30 43172 244548 27 14 58  0  0
 6  0      0 63368436 146408 1105044    0    0     0     6 37265 249085 23 14 64  0  0
18  0      0 63318644 146412 1105040    0    0     0     7 36472 240461 22 14 64  0  0
14  0      0 63295148 146412 1105044    0    0     0     0 37348 245164 23 14 63  0  0
 8  0      0 63294224 146420 1105044    0    0     0     6 37185 248255 23 14 63  0  0
 1  0      0 63220160 146424 1105044    0    0     0    13 49964 238969 32 15 53  0  0
43  0      0 63203388 146428 1105012    0    0     0    35 52026 227199 34 15 51  0  0
 5  0      0 63138360 146436 1105048    0    0     0     9 52317 223328 34 15 51  0  0
42  0      0 63138648 146444 1105048    0    0     0     9 52766 232142 35 15 50  0  0
43  0      0 63071132 146444 1105048    0    0     0     0 53149 228430 34 16 50  0  0
 2  0      0 63042284 146452 1105048    0    0     0     7 51927 225465 34 15 50  0  0
 1  0      0 63010632 146460 1105044    0    0     0    14 51866 222373 34 15 51  0  0
28  0      0 62990600 146464 1105044    0    0     0     6 54193 237954 35 16 49  0  0
 9  0      0 62942988 146464 1105048    0    0     0    32 51773 222637 34 15 51  0  0
 2  0      0 62913032 146468 1105024    0    0     0     9 54204 236488 35 16 49  0  0
 0  0      0 62873752 146472 1105096    0    0     0     6 52640 226836 35 16 50  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 62840000 146472 1105096    0    0     0     0 54355 235187 35 16 49  0  0
 7  0      0 62795032 146472 1105100    0    0     0    10 52901 229878 34 15 50  0  0
24  0      0 62757076 146472 1105100    0    0     0    10 54607 238091 35 16 49  0  0
 3  0      0 62727352 146472 1105100    0    0     0    37 52330 224856 35 16 50  0  0
 5  0      0 62681028 146480 1105104    0    0     0     9 54805 240682 35 16 49  0  0
 0  0      0 62645944 146480 1105104    0    0     0     3 54697 238389 35 16 49  0  0
46  0      0 62606228 146480 1105104    0    0     0     6 53048 230881 34 16 50  0  0
 3  0      0 62560016 146484 1105136    0    0     0    10 51540 219222 34 15 51  0  0
37  0      0 62536484 146484 1105104    0    0     0    15 54493 236683 35 16 49  0  0
34  0      0 62503356 146484 1105104    0    0     0    22 54551 238116 35 16 50  0  0
51  0      0 62453768 146484 1105104    0    0     0    22 52553 227388 34 15 50  0  0
47  0      0 62413468 146484 1105140    0    0     0     0 52458 227387 35 15 50  0  0
 0  0      0 62382092 146488 1105108    0    0     0     9 52549 226278 34 15 51  0  0
39  0      0 62366236 146492 1105108    0    0     0    10 54364 237787 35 15 50  0  0
 0  0      0 62308848 146492 1105108    0    0     0    10 52260 226394 33 15 52  0  0
 9  0      0 62288524 146496 1105140    0    0     0     6 53040 230460 34 16 50  0  0
 8  0      0 62239848 146500 1105108    0    0     0    46 50873 233320 33 15 52  0  0
 0  0      0 62240068 146508 1105108    0    0     0     6 47950 231082 31 15 54  0  0
 0  0      0 62162660 146516 1105112    0    0     0     6 52097 224532 34 15 51  0  0
35  0      0 62139416 146516 1105144    0    0     0     7 53109 232703 35 16 50  0  0
 2  0      0 62107668 146516 1105112    0    0     0    10 37161 238831 22 14 63  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 62094044 146520 1105152    0    0     0     6 37776 248786 23 14 63  0  0
 7  0      0 62076176 146520 1105152    0    0     0    27 37256 246815 22 14 64  0  0
11  0      0 62022560 146520 1105152    0    0     0    10 39537 243227 24 14 62  0  0
34  0      0 62025280 146520 1105156    0    0     0     6 50923 218404 34 16 51  0  0
 0  0      0 61954552 146528 1105184    0    0     0    26 52033 220884 34 15 51  0  0
 8  0      0 61956812 146532 1105184    0    0     0    11 52001 224581 34 15 50  0  0
20  0      0 61865108 146532 1105216    0    0     0     6 52813 225547 35 16 50  0  0
 3  0      0 61871504 146532 1105216    0    0     0    28 51932 223541 34 16 50  0  0
 5  0      0 61811532 146532 1105208    0    0     0    11 51606 217792 34 15 51  0  0
 3  0      0 61800668 146532 1105208    0    0     0    23 51217 221759 34 16 50  0  0
44  0      0 61757196 146532 1105212    0    0     0     4 52236 222776 35 16 50  0  0
 9  0      0 61734636 146536 1105212    0    0     0     6 50440 215013 33 15 51  0  0
 2  0      0 61703384 146536 1105212    0    0     0     9 51265 219085 34 15 51  0  0
48  0      0 61667028 146544 1105212    0    0     0    10 52057 221452 34 15 51  0  0
32  0      0 61650648 146552 1105212    0    0     0    31 51785 221615 34 16 51  0  0
26  0      0 61608484 146552 1105180    0    0     0     6 54153 234681 35 16 49  0  0
