procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 64141876 148792 1126172    0    0     0     0    4    0 13  7 80  0  0
41  0      0 62120736 148796 1126520    0    0     0    76 35336 102244 47  8 45  0  0
25  0      0 60194896 148800 1126528    0    0     0    18 43502 164451 44 13 43  0  0
28  0      0 59681588 148800 1126528    0    0     0    10 44218 179353 36 13 52  0  0
 8  0      0 59470796 148804 1126560    0    0     0     6 43633 197203 26 14 61  0  0
34  0      0 59477328 148812 1126528    0    0     0     8 38676 199285 22 14 64  0  0
 1  0      0 59449712 148812 1126528    0    0     0     0 41136 202626 22 14 64  0  0
 5  0      0 59450700 148816 1126532    0    0     0    70 38620 188031 22 13 65  0  0
39  0      0 59475100 148820 1126564    0    0     0     6 49004 177432 28 14 58  0  0
16  0      0 59474708 148820 1126532    0    0     0     6 44034 174486 25 13 62  0  0
20  0      0 59429852 148820 1126532    0    0     0     0 41920 208695 22 14 63  0  0
 1  0      0 59432320 148820 1126532    0    0     0     6 40378 186660 23 13 64  0  0
 0  0      0 59427396 148820 1126532    0    0     0     8 46676 166032 26 13 61  0  0
 2  0      0 59404876 148824 1126532    0    0     0     6 43507 175434 26 13 61  0  0
 0  0      0 59416368 148828 1126536    0    0     0    49 49387 180747 28 14 58  0  0
49  0      0 59412924 148832 1126536    0    0     0     6 48134 179492 28 14 59  0  0
 2  0      0 59409264 148832 1126536    0    0     0     0 49203 179021 28 14 59  0  0
 3  0      0 59390032 148836 1126536    0    0     0    10 45262 165278 26 13 61  0  0
 2  0      0 59403992 148840 1126536    0    0     0     6 45638 170033 27 13 60  0  0
14  0      0 59401036 148840 1126576    0    0     0     8 49298 180679 28 14 58  0  0
 3  0      0 59400872 148844 1126576    0    0     0    46 47084 178008 27 13 59  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 59319544 148848 1126580    0    0     0     6 55527 163509 26 13 61  0  0
49  0      0 59320552 148856 1126608    0    0     0    20 44648 162529 26 13 61  0  0
32  0      0 59320160 148860 1126608    0    0     0     4 45105 166808 26 13 61  0  0
17  0      0 59308156 148860 1126640    0    0     0     4 45165 168668 26 13 60  0  0
 0  0      0 59308972 148860 1126640    0    0     0     6 45198 167357 27 13 60  0  0
 2  0      0 59302420 148860 1126640    0    0     0    49 45632 168692 27 13 60  0  0
30  0      0 59320440 148860 1126612    0    0     0     6 44095 162927 26 13 61  0  0
 0  0      0 59321396 148860 1126612    0    0     0     0 45448 167626 27 13 60  0  0
 1  0      0 59303764 148860 1126644    0    0     0     0 44894 167959 27 13 60  0  0
 0  0      0 59318112 148864 1126612    0    0     0     6 46165 171882 27 13 60  0  0
 1  0      0 59319176 148864 1126612    0    0     0     6 44800 165689 27 13 60  0  0
 2  0      0 59314836 148864 1126612    0    0     0     7 44703 164437 26 13 61  0  0
40  0      0 59316948 148872 1126612    0    0     0    34 45127 163752 26 13 61  0  0
 6  0      0 59318188 148872 1126616    0    0     0     2 45400 169220 27 13 60  0  0
46  0      0 59314524 148872 1126616    0    0     0     0 44299 164367 26 13 61  0  0
 0  0      0 59316004 148872 1126616    0    0     0     6 46579 173331 27 14 59  0  0
36  0      0 59318048 148876 1126616    0    0     0     6 45072 168500 27 13 60  0  0
 0  0      0 59315444 148876 1126616    0    0     0     9 45148 167221 26 13 60  0  0
45  0      0 59319768 148876 1126616    0    0     0    24 43639 160782 26 13 61  0  0
14  0      0 59297920 148876 1126648    0    0     0    24 44081 164253 26 13 61  0  0
 3  0      0 59301744 148880 1126692    0    0     0     7 40436 186677 23 13 63  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 59321328 148880 1126660    0    0     0     0 46409 172124 27 14 60  0  0
47  0      0 59324488 148884 1126664    0    0     0     6 44675 161886 26 13 61  0  0
 1  0      0 59311500 148888 1126664    0    0     0     2 44874 166485 26 13 60  0  0
 6  0      0 59340796 148888 1126664    0    0     0     9 44420 165153 26 13 61  0  0
 1  0      0 59349132 148888 1126664    0    0     0    20 45757 170825 27 13 60  0  0
47  0      0 59360864 148888 1126668    0    0     0    23 44638 165106 26 13 61  0  0
 1  0      0 59362596 148888 1126668    0    0     0     6 44081 162557 26 13 61  0  0
 3  0      0 59369040 148892 1126668    0    0     0     6 45539 169247 27 13 60  0  0
 1  0      0 59384188 148892 1126700    0    0     0     9 46155 174096 27 14 59  0  0
27  0      0 59388236 148896 1126664    0    0     0     6 44741 164804 26 13 61  0  0
 1  0      0 59402900 148896 1126668    0    0     0     4 45669 167366 27 13 60  0  0
 3  0      0 59408756 148900 1126668    0    0     0    38 45175 167849 27 13 60  0  0
43  0      0 59421364 148900 1126672    0    0     0     8 46728 176111 28 13 59  0  0
 0  0      0 59425200 148900 1126672    0    0     0     2 44544 164171 26 13 61  0  0
 0  0      0 59437536 148904 1126672    0    0     0     6 44419 162343 26 13 61  0  0
38  0      0 59443948 148908 1126672    0    0     0     2 44511 167374 26 13 60  0  0
 2  0      0 59429036 148908 1126704    0    0     0     3 45438 169714 27 13 60  0  0
15  0      0 59455884 148908 1126704    0    0     0     6 45681 169939 27 13 60  0  0
 1  0      0 59467888 148908 1126672    0    0     0    38 44622 165201 26 13 61  0  0
 9  0      0 59474492 148908 1126676    0    0     0     2 45002 165445 26 13 61  0  0
 0  0      0 59483276 148912 1126676    0    0     0    11 45089 169113 27 13 60  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 59485112 148920 1126716    0    0     0     6 45821 174103 27 14 59  0  0
 7  0      0 59493908 148920 1126716    0    0     0    10 46300 172989 27 13 59  0  0
 1  0      0 59498976 148928 1126716    0    0     0     2 45224 165777 26 13 60  0  0
 2  0      0 59505404 148928 1126716    0    0     0     0 44555 164897 26 13 61  0  0
 3  0      0 59511488 148928 1126724    0    0     0    35 48353 180677 28 14 58  0  0
51  0      0 59494256 148936 1126756    0    0     0     8 45716 167869 26 13 60  0  0
