procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0      0 64048516 145428 1096816    0    0     0     0    3    2 12  7 81  0  0
22  0      0 63504724 145432 1097112    0    0     0    10 8508 8942  8  1 91  0  0
12  0      0 61017064 145444 1097168    0    0     0    80 36097 95297 40 10 50  0  0
12  0      0 59790848 145448 1097168    0    0     0    18 36893 118377 26 12 62  0  0
43  0      0 59461612 145448 1097168    0    0     0     7 37405 116065 29 11 60  0  0
 1  0      0 59415304 145448 1097168    0    0     0     0 36009 120511 23 12 66  0  0
 5  0      0 59383656 145448 1097200    0    0     0     0 36853 128989 21 11 68  0  0
 3  0      0 59432320 145448 1097172    0    0     0     6 34918 130433 15 12 73  0  0
14  0      0 59375284 145448 1097172    0    0     0    77 36095 132228 17 12 71  0  0
51  0      0 59370792 145452 1097172    0    0     0     6 35568 129695 16 12 72  0  0
 3  0      0 59370780 145456 1097204    0    0     0     9 37638 132577 17 12 71  0  0
 9  0      0 59362688 145460 1097172    0    0     0     9 33321 128611 15 11 74  0  0
 1  0      0 59363492 145460 1097172    0    0     0     6 35585 131259 15 12 72  0  0
 0  0      0 59362812 145460 1097172    0    0     0     0 35971 133593 15 12 72  0  0
 2  0      0 59359652 145464 1097208    0    0     0    46 37552 130832 17 12 71  0  0
38  0      0 59362204 145468 1097176    0    0     0     6 35558 126412 16 12 72  0  0
26  0      0 59361416 145468 1097176    0    0     0     2 37678 132321 17 12 70  0  0
12  0      0 59357996 145472 1097176    0    0     0     9 36639 126995 17 11 71  0  0
 6  0      0 59355612 145472 1097176    0    0     0     6 35973 126125 16 11 72  0  0
29  0      0 59336688 145472 1097176    0    0     0     6 35483 128575 17 12 72  0  0
 1  0      0 59359584 145472 1097216    0    0     0    42 36528 127969 17 12 71  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
44  0      0 59355992 145472 1097220    0    0     0     4 37896 133472 18 12 70  0  0
42  0      0 59356328 145472 1097220    0    0     0     6 37235 129176 17 12 71  0  0
 2  0      0 59352436 145476 1097252    0    0     0     9 36536 130590 17 12 71  0  0
 2  0      0 59359660 145480 1097216    0    0     0    10 36284 131475 17 12 71  0  0
 1  0      0 59367348 145480 1097220    0    0     0     0 37528 133852 18 12 70  0  0
 0  0      0 59368928 145480 1097220    0    0     0    25 37393 133631 17 12 70  0  0
 2  0      0 59360268 145480 1097256    0    0     0    20 37110 129989 18 12 71  0  0
 2  0      0 59404384 145480 1097224    0    0     0    10 36496 129146 17 12 71  0  0
 1  0      0 59415144 145480 1097224    0    0     0     6 37016 131664 17 12 71  0  0
10  0      0 59442176 145480 1097224    0    0     0     6 37521 132966 17 12 70  0  0
 2  0      0 59458684 145480 1097256    0    0     0     9 36210 130921 17 12 72  0  0
 3  0      0 59488760 145484 1097224    0    0     0     6 35905 128365 16 12 72  0  0
 9  0      0 59508644 145484 1097224    0    0     0    30 35972 133055 16 12 72  0  0
 2  0      0 59526624 145488 1097228    0    0     0     9 35945 130985 16 12 72  0  0
49  0      0 59547080 145492 1097260    0    0     0     7 36785 133146 17 12 71  0  0
 3  0      0 59574104 145492 1097228    0    0     0     6 37100 132754 17 12 71  0  0
 1  0      0 59593568 145496 1097228    0    0     0     6 35897 127879 17 12 71  0  0
