procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 64190268 142288 1072728    0    0     0     0    3    5 12  6 82  0  0
22  0      0 61958388 142288 1073080    0    0     0     0 39549 131005 49 10 41  0  0
10  0      0 60251804 142292 1073084    0    0     0    79 41344 168825 40 12 48  0  0
12  0      0 59836140 142292 1073084    0    0     0     6 40326 189648 30 13 57  0  0
 4  0      0 59612384 142296 1073084    0    0     0     6 42637 197612 25 14 62  0  0
 1  0      0 59547500 142296 1073084    0    0     0     6 46983 173752 28 14 58  0  0
 2  0      0 59539224 142296 1073084    0    0     0     3 48784 175768 28 14 58  0  0
19  0      0 59535108 142296 1073088    0    0     0    78 49648 185379 29 14 57  0  0
35  0      0 59545820 142296 1073088    0    0     0     9 49599 181518 29 14 57  0  0
 1  0      0 59523784 142304 1073120    0    0     0     6 44197 195264 25 14 61  0  0
38  0      0 59503760 142304 1073088    0    0     0     6 47472 175434 28 14 59  0  0
 0  0      0 59498892 142304 1073088    0    0     0     0 50298 180966 28 14 58  0  0
13  0      0 59501408 142304 1073088    0    0     0     6 46232 172550 27 13 60  0  0
 3  0      0 59467820 142304 1073120    0    0     0    37 47285 169513 27 13 60  0  0
 0  0      0 59492204 142308 1073092    0    0     0    19 45125 166727 27 13 60  0  0
35  0      0 59484268 142308 1073092    0    0     0     0 47315 170203 27 13 60  0  0
41  0      0 59484668 142308 1073092    0    0     0     6 49577 184429 29 14 58  0  0
38  0      0 59401076 142308 1073124    0    0     0     6 58159 178267 28 14 58  0  0
 6  0      0 59404172 142308 1073092    0    0     0     6 45658 170469 27 13 59  0  0
 3  0      0 59400416 142308 1073132    0    0     0     0 45005 166071 26 13 61  0  0
 1  0      0 59402884 142308 1073132    0    0     0    52 46590 175052 27 13 59  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
