procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 59494324 149368 1130168    0    0     0    12 37433 131961 21 12 68  0  0
 1  0      0 59496676 149368 1130204    0    0     0     0 37977 131572 21 12 67  0  0
 2  0      0 59475884 149376 1130172    0    0     0     6 36548 129310 20 12 68  0  0
46  0      0 59497160 149380 1130168    0    0     0    17 37218 130851 20 11 68  0  0
 1  0      0 59498084 149380 1130176    0    0     0    22 37946 137518 21 12 67  0  0
13  0      0 59497056 149384 1130208    0    0     0    10 36492 146573 19 13 69  0  0
 1  0      0 59496224 149388 1130176    0    0     0    15 34098 136933 17 12 71  0  0
 1  0      0 59485912 149388 1130208    0    0     0     6 34614 140645 18 12 70  0  0
25  0      0 59504776 149388 1130176    0    0     0     0 34444 139962 18 12 70  0  0
 2  0      0 59493404 149392 1130176    0    0     0    10 37278 135805 20 12 68  0  0
 2  0      0 59507240 149400 1130176    0    0     0     6 38566 136065 22 12 66  0  0
 2  0      0 59508604 149400 1130180    0    0     0    29 35733 126345 20 12 68  0  0
 2  0      0 59510652 149404 1130212    0    0     0     6 35996 125849 20 11 68  0  0
 1  0      0 59508156 149404 1130180    0    0     0    14 37224 128580 20 12 68  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 59512672 149404 1130180    0    0     0     0 36355 129004 20 12 68  0  0
 0  0      0 59502016 149408 1130256    0    0     0     6 36894 130149 20 11 68  0  0
50  0      0 59517320 149412 1130224    0    0     0    10 37427 133086 21 12 67  0  0
36  0      0 59523300 149412 1130224    0    0     0    25 36153 125806 20 12 68  0  0
 2  0      0 59527836 149416 1130260    0    0     0     6 37292 128227 20 11 68  0  0
 1  0      0 59534772 149420 1130228    0    0     0    15 36424 128712 20 12 68  0  0
32  0      0 59515484 149420 1130260    0    0     0     5 36441 129336 21 11 68  0  0
11  0      0 59540512 149420 1130228    0    0     0     6 36993 128858 21 11 68  0  0
 0  0      0 59541724 149420 1130228    0    0     0     0 36362 130016 20 12 68  0  0
 0  0      0 59549000 149420 1130260    0    0     0    15 38864 138098 22 12 66  0  0
 3  0      0 59529684 149424 1130232    0    0     0    22 36446 131135 21 12 67  0  0
46  0      0 59546200 149424 1130232    0    0     0     6 38726 138096 22 12 66  0  0
37  0      0 59544936 149424 1130232    0    0     0    14 38883 136868 22 12 66  0  0
51  0      0 59548836 149432 1130264    0    0     0     8 38342 133344 21 12 67  0  0
 2  0      0 59528660 149436 1130232    0    0     0     6 36776 129339 21 12 68  0  0
 0  0      0 59555004 149436 1130232    0    0     0     0 37884 134307 21 12 66  0  0
 1  0      0 59553872 149440 1130236    0    0     0    14 39042 136352 21 12 67  0  0
50  0      0 59556860 149440 1130240    0    0     0    28 37859 133575 21 12 67  0  0
36  0      0 59535876 149440 1130240    0    0     0    12 37312 130760 21 12 68  0  0
21  0      0 59563688 149440 1130240    0    0     0     6 37560 132966 20 12 68  0  0
 0  0      0 59566344 149440 1130240    0    0     0     2 39173 136586 22 12 66  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 59565292 149440 1130240    0    0     0     9 38942 135487 22 12 65  0  0
 1  0      0 59543792 149444 1130272    0    0     0    13 38847 137797 22 12 66  0  0
 2  0      0 59567236 149448 1130276    0    0     0     6 37441 132573 21 12 67  0  0
 5  0      0 59565904 149448 1130284    0    0     0    26 38835 137543 22 12 66  0  0
 2  0      0 59572280 149448 1130284    0    0     0     7 39789 138661 22 12 65  0  0
 1  0      0 59572240 149452 1130316    0    0     0     6 38418 134057 22 12 66  0  0
 1  0      0 59577880 149456 1130280    0    0     0     8 36953 131402 20 12 68  0  0
28  0      0 59584400 149456 1130284    0    0     0     0 38156 133666 22 12 66  0  0
47  0      0 59587488 149456 1130284    0    0     0    12 40028 140491 22 12 66  0  0
47  0      0 59589352 149456 1130320    0    0     0    32 39892 141354 22 12 65  0  0
 4  0      0 59570340 149456 1130284    0    0     0    17 36605 129891 21 12 68  0  0
 1  0      0 59591976 149456 1130284    0    0     0     6 39595 141023 22 12 65  0  0
 5  0      0 59598080 149456 1130284    0    0     0     9 38661 137942 22 12 66  0  0
 1  0      0 59597624 149456 1130316    0    0     0     9 38720 134543 21 12 67  0  0
46  0      0 59579796 149460 1130284    0    0     0     6 36331 128632 20 12 68  0  0
 2  0      0 59605964 149464 1130280    0    0     0    14 38400 134499 21 12 67  0  0
33  0      0 59613640 149468 1130288    0    0     0    27 39218 137615 23 12 65  0  0
 0  0      0 59617668 149476 1130320    0    0     0     6 38953 137493 22 12 66  0  0
 3  0      0 59601632 149480 1130288    0    0     0     7 36448 129039 21 12 68  0  0
 5  0      0 59618844 149480 1130288    0    0     0     0 38155 132715 21 12 67  0  0
42  0      0 59623536 149484 1130288    0    0     0     8 37589 128796 21 12 67  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 59621040 149488 1130288    0    0     0     6 38438 133230 21 12 67  0  0
13  0      0 59608528 149492 1130288    0    0     0    12 37355 132249 21 12 67  0  0
10  0      0 59632012 149492 1130292    0    0     0    34 35628 123841 21 12 68  0  0
 9  0      0 59638116 149492 1130336    0    0     0     0 38431 135518 22 12 66  0  0
 2  0      0 59636948 149492 1130340    0    0     0     7 38605 136621 22 12 67  0  0
 1  0      0 59621640 149492 1130372    0    0     0     6 39273 141812 23 12 65  0  0
22  0      0 59648680 149492 1130340    0    0     0     8 36658 133798 21 12 67  0  0
 1  0      0 59653244 149492 1130340    0    0     0     0 40496 144307 23 13 64  0  0
63  0      0 59655704 149496 1130344    0    0     0    34 38623 136725 22 12 65  0  0
31  0      0 59659316 149500 1130312    0    0     0     9 37934 132227 21 12 67  0  0
 3  0      0 59655900 149500 1130344    0    0     0     6 37456 134359 21 12 67  0  0
43  0      0 59651012 149508 1130404    0    0     0    26 35975 128134 21 12 68  0  0
 0  0      0 59653872 149508 1130404    0    0     0     3 36068 130230 21 12 67  0  0
 3  0      0 59674792 149508 1130372    0    0     0     2 36825 133629 21 12 67  0  0
 3  0      0 59677104 149508 1130372    0    0     0    35 36808 134059 21 12 68  0  0
10  0      0 59678196 149508 1130376    0    0     0    10 36438 130539 21 12 67  0  0
 0  0      0 59676476 149508 1130408    0    0     0     0 35865 128015 21 12 67  0  0
 2  0      0 59676844 149512 1130408    0    0     0     6 36484 130780 21 12 67  0  0
 5  0      0 59694268 149512 1130376    0    0     0    10 37053 132375 21 12 67  0  0
 0  0      0 59694764 149512 1130376    0    0     0     6 36767 133527 21 12 67  0  0
 1  0      0 59699668 149512 1130376    0    0     0     2 37412 137190 21 12 67  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 59707064 149516 1130376    0    0     0    44 37051 133519 21 12 67  0  0
 2  0      0 59680560 149520 1130416    0    0     0    11 36603 130574 22 12 66  0  0
 6  0      0 59682324 149524 1130424    0    0     0    22 36434 127413 21 12 67  0  0
 0  0      0 59709808 149528 1130392    0    0     0     7 37024 132823 21 12 67  0  0
30  0      0 59713056 149528 1130432    0    0     0     0 37189 131206 21 12 67  0  0
16  0      0 59698204 149528 1130464    0    0     0    11 36945 132015 22 12 66  0  0
25  0      0 59703404 149536 1130464    0    0     0    14 37374 133440 22 12 66  0  0
 1  0      0 59713996 149536 1130436    0    0     0    34 35929 126219 21 11 68  0  0
22  0      0 59714668 149536 1130436    0    0     0     0 36944 132786 21 12 67  0  0
 2  0      0 59705132 149536 1130468    0    0     0     0 37245 134729 21 12 67  0  0
 3  0      0 59707760 149540 1130464    0    0     0     6 37149 131430 22 12 66  0  0
40  0      0 59730056 149540 1130436    0    0     0     0 36656 129509 21 12 67  0  0
 6  0      0 59733296 149540 1130436    0    0     0     6 36452 129338 21 12 68  0  0
33  0      0 59734752 149540 1130440    0    0     0    11 35352 123277 21 11 68  0  0
 2  0      0 59732904 149540 1130440    0    0     0    34 36986 132507 21 12 67  0  0
 5  0      0 59741016 149540 1130440    0    0     0     6 36940 130775 22 12 66  0  0
 4  0      0 59738884 149540 1130440    0    0     0     6 36532 130181 21 12 67  0  0
 6  0      0 59741020 149544 1130440    0    0     0     3 36162 128361 22 12 66  0  0
27  0      0 59746516 149552 1130440    0    0     0     9 36744 130072 21 12 67  0  0
 2  0      0 59749744 149552 1130440    0    0     0     6 37489 135554 22 12 66  0  0
 1  0      0 59751076 149552 1130444    0    0     0     6 38167 134629 21 12 67  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 59756536 149552 1130444    0    0     0    37 35747 125019 21 11 68  0  0
 0  0      0 59756640 149556 1130444    0    0     0     2 36402 127645 21 12 68  0  0
 1  0      0 59757692 149560 1130444    0    0     0     6 37025 132463 22 12 67  0  0
 0  0      0 59766100 149568 1130444    0    0     0     6 36059 130451 21 12 68  0  0
29  0      0 59774448 149568 1130448    0    0     0     0 36616 131389 21 12 67  0  0
 2  0      0 59776804 149568 1130520    0    0     0     3 37697 133782 22 12 66  0  0
 1  0      0 59793872 149572 1130524    0    0     0     8 38997 138067 22 12 66  0  0
 4  0      0 59823780 149576 1130492    0    0     0    34 36987 129742 21 12 67  0  0
35  0      0 59846028 149576 1130492    0    0     0     4 35970 128840 20 12 68  0  0
21  0      0 59865628 149576 1130492    0    0     0     9 35182 133756 19 11 70  0  0
16  0      0 59879476 149576 1130524    0    0     0     6 37076 134329 21 12 67  0  0
22  0      0 59900700 149576 1130492    0    0     0     9 37611 133538 22 12 67  0  0
 1  0      0 59920204 149576 1130496    0    0     0     0 38427 135549 22 12 65  0  0
40  0      0 59931108 149576 1130496    0    0     0    38 37473 130853 22 12 66  0  0
 1  0      0 59922644 149576 1130528    0    0     0     6 36402 129129 21 12 67  0  0
32  0      0 59951328 149576 1130496    0    0     0     6 38363 137254 22 12 66  0  0
46  0      0 59957468 149576 1130496    0    0     0     6 39390 139444 22 12 66  0  0
 2  0      0 59968384 149576 1130496    0    0     0    10 39243 137881 23 12 65  0  0
 4  0      0 59947092 149576 1130528    0    0     0     6 36562 130214 21 12 67  0  0
 1  0      0 59979116 149576 1130500    0    0     0    32 37075 130727 21 11 67  0  0
 0  0      0 59984672 149576 1130500    0    0     0     6 37425 131809 22 12 67  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 59988648 149576 1130500    0    0     0     9 38167 133880 21 11 67  0  0
49  0      0 59981200 149576 1130500    0    0     0     6 36811 131677 22 12 67  0  0
20  0      0 60001264 149576 1130500    0    0     0     6 37452 133948 22 12 66  0  0
29  0      0 60008900 149576 1130504    0    0     0     8 38997 137770 23 12 65  0  0
 1  0      0 60014032 149576 1130504    0    0     0     6 38848 136831 23 12 65  0  0
20  0      0 60002932 149576 1130540    0    0     0    31 37648 134349 22 12 66  0  0
24  0      0 60027116 149576 1130548    0    0     0    11 38250 136609 22 12 66  0  0
20  0      0 60035724 149576 1130548    0    0     0     0 38189 135382 22 12 66  0  0
56  0      0 60044360 149576 1130548    0    0     0     6 36357 127852 20 12 68  0  0
37  0      0 60053816 149576 1130548    0    0     0     3 38815 136994 22 12 66  0  0
27  0      0 60060536 149576 1130548    0    0     0     6 36905 131967 21 12 67  0  0
 2  0      0 60038252 149576 1130580    0    0     0     4 36498 130541 21 12 67  0  0
 1  0      0 60067504 149576 1130552    0    0     0    34 38725 137020 22 12 66  0  0
