procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  1      0 64028808 147256 1112824    0    0     0     0    1    9 13  7 81  0  0
 9  0      0 62580228 147260 1113164    0    0     0    74 23894 42890 32  4 64  0  0
 7  0      0 60583764 147264 1113180    0    0     0    15 33580 114375 29 11 59  0  0
25  0      0 59606908 147264 1113180    0    0     0     6 35518 116301 34 11 55  0  0
23  0      0 59495768 147264 1113180    0    0     0     0 32708 121054 25 11 64  0  0
 0  0      0 59439292 147264 1113212    0    0     0     6 35412 132274 25 11 64  0  0
19  0      0 59396860 147268 1113180    0    0     0     9 32061 129511 18 11 71  0  0
 1  0      0 59381608 147268 1113216    0    0     0    64 31801 130214 17 11 72  0  0
 1  0      0 59433116 147272 1113184    0    0     0    14 33483 136127 18 11 71  0  0
 9  0      0 59434568 147272 1113184    0    0     0     6 32540 132364 17 11 72  0  0
 2  0      0 59374324 147272 1113184    0    0     0     0 32970 133661 18 11 71  0  0
13  0      0 59388076 147272 1113184    0    0     0     6 32799 132535 17 11 71  0  0
 2  0      0 59389752 147272 1113184    0    0     0     6 31187 127592 16 11 73  0  0
 0  0      0 59380924 147272 1113184    0    0     0    39 33619 136436 18 12 70  0  0
13  0      0 59381472 147272 1113188    0    0     0    10 33095 135194 18 11 71  0  0
 2  0      0 59359660 147272 1113220    0    0     0     7 32501 133700 18 11 71  0  0
 9  0      0 59379236 147272 1113188    0    0     0     6 32520 133259 17 11 72  0  0
 2  0      0 59378920 147272 1113188    0    0     0     0 35149 131047 20 11 69  0  0
 1  0      0 59377300 147272 1113188    0    0     0     6 36657 127780 20 11 69  0  0
21  0      0 59352476 147272 1113260    0    0     0    26 34634 122186 19 11 70  0  0
 0  0      0 59375876 147272 1113228    0    0     0    25 35252 125661 19 11 70  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 59374772 147272 1113232    0    0     0     4 37385 131111 20 11 68  0  0
 2  0      0 59375576 147272 1113232    0    0     0    10 37999 133165 21 11 68  0  0
 1  0      0 59374220 147272 1113264    0    0     0     6 37018 132699 21 11 68  0  0
 9  0      0 59377684 147272 1113232    0    0     0     9 34898 128037 20 11 69  0  0
 1  0      0 59375016 147272 1113232    0    0     0     0 36238 128746 21 11 68  0  0
 1  0      0 59374472 147276 1113232    0    0     0    42 35690 122824 20 11 70  0  0
 1  0      0 59369596 147276 1113268    0    0     0    14 35932 127042 20 11 70  0  0
18  0      0 59355228 147276 1113236    0    0     0     6 35109 123911 19 11 70  0  0
 2  0      0 59372568 147280 1113236    0    0     0     6 35084 121896 20 11 69  0  0
 2  0      0 59373152 147280 1113236    0    0     0    10 37084 129252 20 11 69  0  0
22  0      0 59371864 147280 1113236    0    0     0     0 36162 127182 20 11 69  0  0
 2  0      0 59356128 147280 1113236    0    0     0    30 35718 126613 20 11 69  0  0
 0  0      0 59373640 147280 1113236    0    0     0    18 34814 124061 20 11 70  0  0
 7  0      0 59377584 147284 1113236    0    0     0    13 37106 132538 21 11 68  0  0
 1  0      0 59377764 147284 1113240    0    0     0     0 36939 129269 20 11 69  0  0
14  0      0 59367888 147292 1113272    0    0     0     9 36524 132176 20 11 69  0  0
 1  0      0 59391208 147300 1113236    0    0     0     7 35756 127169 20 11 69  0  0
 1  0      0 59393836 147300 1113244    0    0     0     0 36381 126849 21 11 68  0  0
30  0      0 59413460 147300 1113244    0    0     0    30 37103 130972 21 11 68  0  0
 3  0      0 59401040 147300 1113276    0    0     0    18 36563 130885 21 11 68  0  0
 6  0      0 59437084 147304 1113288    0    0     0    13 34635 125167 20 11 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 59446948 147304 1113288    0    0     0     6 35583 124009 20 11 70  0  0
 2  0      0 59461528 147304 1113292    0    0     0     5 36509 126742 20 11 69  0  0
 2  0      0 59461844 147308 1113324    0    0     0     6 34911 121471 20 10 70  0  0
32  0      0 59490400 147316 1113292    0    0     0     6 35095 127419 20 11 69  0  0
54  0      0 59498744 147316 1113292    0    0     0    19 37755 130859 21 11 68  0  0
 4  0      0 59517464 147316 1113296    0    0     0    18 37541 129127 20 11 69  0  0
56  0      0 59526888 147320 1113328    0    0     0    12 35867 125243 20 11 70  0  0
41  0      0 59541732 147328 1113296    0    0     0     6 35926 130073 20 11 69  0  0
 1  0      0 59552372 147328 1113296    0    0     0     6 37141 131816 21 11 68  0  0
37  0      0 59563472 147328 1113296    0    0     0     5 35746 126664 21 11 68  0  0
 1  0      0 59579624 147328 1113328    0    0     0    10 36504 128483 20 11 69  0  0
46  0      0 59565600 147336 1113296    0    0     0    26 34711 125408 20 11 69  0  0
