procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  1      0 64024112 147616 1116364    0    0     0     0    1    5 13  7 81  0  0
28  0      0 62596076 147620 1116700    0    0     0    73 21090 35329 28  4 68  0  0
18  0      0 60256868 147624 1116716    0    0     0    16 35606 111039 27 12 61  0  0
 5  0      0 59678716 147624 1116716    0    0     0     6 37224 110625 30 11 59  0  0
24  0      0 59474708 147624 1116716    0    0     0     3 33859 111925 22 11 67  0  0
 5  0      0 59362604 147624 1116748    0    0     0     9 36271 116723 25 11 65  0  0
15  0      0 59389428 147624 1116716    0    0     0     8 33475 119883 15 11 73  0  0
 9  0      0 59384880 147624 1116752    0    0     0    72 34435 122755 16 11 72  0  0
 5  0      0 59356852 147628 1116720    0    0     0     6 36847 125138 17 12 71  0  0
 0  0      0 59350464 147628 1116720    0    0     0     6 35825 121400 17 11 72  0  0
 1  0      0 59350472 147628 1116720    0    0     0     6 36959 128938 17 12 71  0  0
 2  0      0 59325332 147628 1116752    0    0     0     9 36367 128471 17 12 71  0  0
25  0      0 59340488 147636 1116720    0    0     0     7 36354 125881 17 12 72  0  0
15  0      0 59341100 147636 1116720    0    0     0    40 36236 124987 16 11 72  0  0
 7  0      0 59339908 147636 1116724    0    0     0     6 34640 125685 15 12 73  0  0
 1  0      0 59319688 147636 1116756    0    0     0     6 34704 123361 15 12 73  0  0
 1  0      0 59339812 147636 1116724    0    0     0     6 33808 123264 15 12 74  0  0
17  0      0 59340348 147636 1116724    0    0     0     0 34912 125558 16 12 72  0  0
23  0      0 59338392 147636 1116724    0    0     0    12 34475 124774 15 12 73  0  0
 4  0      0 59333408 147636 1116764    0    0     0     8 34830 125085 15 12 73  0  0
 3  0      0 59318708 147644 1116796    0    0     0    46 33180 121664 14 11 74  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 59336756 147644 1116768    0    0     0     6 34509 126364 15 12 73  0  0
 0  0      0 59335304 147652 1116768    0    0     0     6 34323 125399 15 12 73  0  0
 1  0      0 59341176 147652 1116768    0    0     0     0 36825 122878 17 12 71  0  0
 2  0      0 59321396 147656 1116800    0    0     0     6 36313 122909 17 12 71  0  0
 1  0      0 59342708 147656 1116768    0    0     0     9 35704 121622 17 11 72  0  0
 1  0      0 59343348 147656 1116768    0    0     0     8 36247 121291 17 11 72  0  0
 1  0      0 59354236 147656 1116772    0    0     0    36 35452 118846 16 11 72  0  0
 8  0      0 59365932 147656 1116804    0    0     0     6 36133 128025 17 12 71  0  0
 3  0      0 59381052 147656 1116772    0    0     0     6 35319 124630 16 12 72  0  0
 1  0      0 59401484 147656 1116772    0    0     0     0 36829 125895 17 12 71  0  0
 1  0      0 59414588 147660 1116772    0    0     0     9 36481 124933 17 12 71  0  0
 2  0      0 59446792 147664 1116772    0    0     0    15 36744 124098 17 12 71  0  0
 2  0      0 59448496 147668 1116804    0    0     0    11 35488 125359 16 12 72  0  0
42  0      0 59478024 147672 1116776    0    0     0    33 38085 131475 17 12 71  0  0
 5  0      0 59489908 147672 1116780    0    0     0     0 37169 128024 17 12 71  0  0
 2  0      0 59517992 147676 1116780    0    0     0     6 37072 128429 18 12 71  0  0
 2  0      0 59514312 147676 1116812    0    0     0     6 35700 123629 16 12 72  0  0
 0  0      0 59548368 147676 1116780    0    0     0    10 36424 124946 17 12 71  0  0
 1  0      0 59564792 147676 1116780    0    0     0    13 35961 120649 17 11 72  0  0
16  0      0 59579108 147680 1116776    0    0     0    14 36090 122311 17 12 71  0  0
41  0      0 59572144 147680 1116856    0    0     0    24 35652 120708 17 12 71  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 59605572 147680 1116824    0    0     0     6 35933 123550 17 12 71  0  0
 1  0      0 59620536 147680 1116828    0    0     0     9 37130 128523 17 12 71  0  0
 1  0      0 59632784 147680 1116828    0    0     0    10 37433 126105 17 12 71  0  0
31  0      0 59623424 147680 1116860    0    0     0    10 36558 127109 17 12 71  0  0
20  0      0 59643144 147684 1116828    0    0     0    15 34578 119318 16 11 73  0  0
50  0      0 59650120 147684 1116832    0    0     0    28 36917 125272 18 12 71  0  0
22  0      0 59659952 147684 1116832    0    0     0     7 37038 125031 18 12 71  0  0
 1  0      0 59665224 147684 1116864    0    0     0     0 37509 125617 18 12 70  0  0
 3  0      0 59669640 147692 1116824    0    0     0    15 35183 122054 16 12 72  0  0
 1  0      0 59676988 147700 1116864    0    0     0    14 35028 122083 16 11 72  0  0
 1  0      0 59685156 147704 1116864    0    0     0    19 34767 122290 16 12 72  0  0
37  0      0 59670860 147704 1116896    0    0     0    33 35071 121268 16 12 72  0  0
45  0      0 59674468 147708 1116900    0    0     0     9 35322 123094 17 11 72  0  0
39  0      0 59702192 147708 1116868    0    0     0    12 35342 126772 16 11 73  0  0
 1  0      0 59692936 147708 1116900    0    0     0     0 35721 129872 16 11 72  0  0
 1  0      0 59695752 147712 1116900    0    0     0    10 34804 123489 16 11 73  0  0
45  0      0 59694256 147716 1116900    0    0     0     9 35620 129088 17 12 71  0  0
50  0      0 59716308 147716 1116868    0    0     0     6 35512 125757 17 11 72  0  0
25  0      0 59727652 147716 1116868    0    0     0    28 35368 124702 16 12 72  0  0
 6  0      0 59729604 147720 1116872    0    0     0     6 35903 122368 17 11 71  0  0
 0  0      0 59738544 147720 1116872    0    0     0     3 35133 118892 16 11 72  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0      0 59737020 147720 1116912    0    0     0     6 34939 121352 16 12 72  0  0
 1  0      0 59747380 147724 1116912    0    0     0     6 35181 122949 16 12 72  0  0
 1  0      0 59739668 147724 1116944    0    0     0    12 35415 126690 17 12 72  0  0
30  0      0 59742756 147724 1116944    0    0     0    16 36400 128332 17 12 71  0  0
32  0      0 59776240 147728 1116916    0    0     0    15 35783 126286 17 12 72  0  0
47  0      0 59785296 147732 1116916    0    0     0     6 35448 123815 16 12 72  0  0
 0  0      0 59789356 147732 1116916    0    0     0     9 35154 119605 16 12 72  0  0
 2  0      0 59783148 147736 1116948    0    0     0     9 35120 120135 16 12 72  0  0
 3  0      0 59811852 147736 1116908    0    0     0     6 35751 122655 17 12 72  0  0
 6  0      0 59812972 147736 1116908    0    0     0    12 36045 125660 17 12 71  0  0
 0  0      0 59827080 147740 1116908    0    0     0    22 34994 125183 16 12 72  0  0
15  0      0 59832020 147744 1116912    0    0     0     9 32991 125342 14 12 74  0  0
 1  0      0 59836752 147744 1116912    0    0     0     0 35960 126333 17 12 72  0  0
