procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 64065132 143132 1077540    0    0     0     0    6    2 12  6 82  0  0
10  0      0 61558868 143132 1077888    0    0     0    80 35638 79504 41  8 50  0  0
30  0      0 59793524 143132 1077892    0    0     0    16 38001 121797 27 13 60  0  0
44  0      0 59400732 143132 1077892    0    0     0     0 40630 120377 32 12 56  0  0
 2  0      0 59105832 143132 1077892    0    0     0     6 37190 121139 24 12 64  0  0
14  0      0 58996592 143132 1077892    0    0     0     9 38980 128757 24 12 64  0  0
44  0      0 59032612 143132 1077892    0    0     0     3 37429 128066 18 12 69  0  0
 3  0      0 58949168 143132 1077896    0    0     0    70 38094 129148 19 12 68  0  0
 1  0      0 58948796 143132 1077896    0    0     0     6 37568 130028 17 12 70  0  0
20  0      0 58927684 143132 1077928    0    0     0    14 37060 129971 18 12 70  0  0
43  0      0 58922284 143132 1077896    0    0     0     6 37428 130546 17 12 70  0  0
23  0      0 58924268 143132 1077896    0    0     0     0 38901 131391 18 13 69  0  0
43  0      0 58924516 143132 1077896    0    0     0     6 38096 132673 18 13 69  0  0
 5  0      0 58894632 143136 1077928    0    0     0     9 36695 130324 18 12 70  0  0
19  0      0 58919672 143140 1077900    0    0     0    46 35705 129507 16 12 72  0  0
26  0      0 58917484 143140 1077900    0    0     0     0 35192 128193 15 12 73  0  0
 1  0      0 58918952 143140 1077900    0    0     0     6 35824 132005 15 12 73  0  0
12  0      0 58916316 143140 1077932    0    0     0     9 35412 130284 16 12 72  0  0
20  0      0 58914096 143156 1077932    0    0     0    30 34934 129639 15 12 73  0  0
26  0      0 58915564 143160 1077972    0    0     0     3 34143 126635 14 12 74  0  0
 1  0      0 58914540 143160 1077972    0    0     0     3 34267 128880 14 12 74  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 58913984 143164 1077976    0    0     0    42 34105 127817 14 12 74  0  0
 1  0      0 58915824 143164 1077976    0    0     0     2 34459 128726 14 12 73  0  0
23  0      0 58921012 143164 1077976    0    0     0    12 36461 133871 16 12 72  0  0
19  0      0 58918892 143164 1077976    0    0     0     6 36821 133106 15 12 73  0  0
 2  0      0 58893704 143168 1077976    0    0     0     6 35446 130634 15 12 73  0  0
 1  0      0 58942228 143168 1077976    0    0     0     0 36116 130979 15 13 72  0  0
 7  0      0 58939024 143172 1078012    0    0     0    44 35464 131115 14 12 73  0  0
 1  0      0 58948448 143176 1078012    0    0     0    10 35355 129883 14 12 73  0  0
 1  0      0 58975520 143180 1077984    0    0     0    15 35416 130066 15 12 73  0  0
 1  0      0 58982096 143188 1077984    0    0     0    31 35796 124922 16 12 72  0  0
 1  0      0 58972948 143188 1077984    0    0     0     3 36535 126757 17 12 71  0  0
 4  0      0 58978580 143188 1077984    0    0     0     6 37579 130801 17 12 70  0  0
55  0      0 59005908 143188 1077984    0    0     0     3 36876 127564 17 12 71  0  0
12  0      0 59013584 143196 1077988    0    0     0    38 35934 127208 17 12 71  0  0
 3  0      0 59021328 143200 1077988    0    0     0     2 36599 130175 17 12 71  0  0
 2  0      0 58996280 143200 1078020    0    0     0     6 36851 126978 17 12 71  0  0
 4  0      0 59009832 143204 1078016    0    0     0     7 36758 127486 17 12 71  0  0
 0  0      0 59044984 143204 1077988    0    0     0     0 37109 127951 17 12 71  0  0
43  0      0 59059328 143204 1077988    0    0     0     6 36324 127190 17 12 71  0  0
 1  0      0 59044720 143204 1078020    0    0     0    40 36706 129148 17 12 71  0  0
 1  0      0 59048604 143208 1078064    0    0     0    12 36340 127284 17 12 71  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 59068160 143208 1078032    0    0     0     6 37011 130055 17 12 71  0  0
 3  0      0 59075484 143208 1078036    0    0     0     6 36799 129295 17 12 71  0  0
 1  0      0 59076180 143212 1078036    0    0     0     7 36561 127354 17 12 71  0  0
 1  0      0 59081704 143212 1078036    0    0     0     0 37634 129738 17 12 70  0  0
 1  0      0 59084960 143220 1078036    0    0     0    33 37543 130042 17 12 70  0  0
47  0      0 59084580 143220 1078040    0    0     0    18 37046 128974 17 12 71  0  0
47  0      0 59089776 143220 1078040    0    0     0     6 36146 127368 17 12 71  0  0
 9  0      0 59077672 143220 1078072    0    0     0     2 36147 128077 16 12 71  0  0
 1  0      0 59073648 143220 1078072    0    0     0     6 35905 130088 16 13 72  0  0
 2  0      0 59084344 143220 1078040    0    0     0     0 36695 127630 17 12 71  0  0
 0  0      0 59086476 143220 1078040    0    0     0    10 36000 123894 17 12 71  0  0
 1  0      0 59070880 143220 1078072    0    0     0    31 36414 123599 17 12 71  0  0
36  0      0 59068516 143224 1078076    0    0     0    18 36244 125752 17 12 71  0  0
 2  0      0 59084384 143228 1078044    0    0     0     9 37567 125553 17 12 71  0  0
 1  0      0 59076872 143232 1078044    0    0     0     2 37795 129301 17 12 71  0  0
35  0      0 59061988 143232 1078076    0    0     0     0 36626 127564 17 12 71  0  0
35  0      0 59074724 143232 1078076    0    0     0     7 37542 129536 18 12 70  0  0
 0  0      0 59078900 143232 1078048    0    0     0    18 36292 124643 17 12 71  0  0
 3  0      0 59080592 143236 1078048    0    0     0    12 38471 132919 18 13 70  0  0
 0  0      0 59077972 143240 1078084    0    0     0    15 38798 132448 18 13 70  0  0
 1  0      0 59081100 143244 1078052    0    0     0     9 36598 130091 17 12 71  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 59088056 143244 1078092    0    0     0     7 37864 129687 17 12 71  0  0
 1  0      0 59091164 143244 1078092    0    0     0     0 38113 131484 18 12 70  0  0
 2  0      0 59087300 143248 1078116    0    0     0    14 38226 132103 18 13 70  0  0
22  0      0 59073208 143252 1078084    0    0     0    34 36312 131930 17 12 71  0  0
 1  0      0 59087640 143252 1078088    0    0     0     9 36825 132243 17 12 71  0  0
 0  0      0 59090216 143252 1078088    0    0     0    12 38181 133944 18 12 70  0  0
 1  0      0 59087736 143252 1078088    0    0     0     9 38255 133725 18 12 70  0  0
49  0      0 59079892 143252 1078088    0    0     0     6 36186 126488 17 12 71  0  0
 1  0      0 59083844 143252 1078088    0    0     0     0 36782 127698 17 12 71  0  0
 1  0      0 59079112 143256 1078088    0    0     0    16 38155 130692 17 12 71  0  0
 1  0      0 59078040 143256 1078088    0    0     0    26 37215 127529 17 12 71  0  0
10  0      0 59062636 143256 1078124    0    0     0     9 36203 130513 17 12 71  0  0
 0  0      0 59086524 143260 1078092    0    0     0     9 36009 130399 15 12 72  0  0
 1  0      0 59080880 143264 1078092    0    0     0     9 39020 133235 18 13 69  0  0
 3  0      0 59077428 143264 1078092    0    0     0     9 38813 134118 18 13 69  0  0
 0  0      0 59072664 143264 1078092    0    0     0    15 36208 127126 17 12 70  0  0
 1  0      0 59069688 143264 1078124    0    0     0    14 38857 135921 18 13 69  0  0
 0  0      0 59060744 143264 1078092    0    0     0    13 36256 131061 16 12 72  0  0
 3  0      0 59049676 143268 1078128    0    0     0     6 35895 132858 15 12 73  0  0
 1  0      0 59065132 143272 1078096    0    0     0     9 35935 131941 15 12 73  0  0
 0  0      0 59069388 143272 1078096    0    0     0     3 34692 130009 15 12 73  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 59044388 143276 1078096    0    0     0     9 35565 131303 15 12 73  0  0
 2  0      0 59062328 143276 1078140    0    0     0    10 35821 132807 15 13 72  0  0
37  0      0 59052324 143276 1078140    0    0     0    22 36225 128929 16 12 72  0  0
13  0      0 59056612 143276 1078172    0    0     0     2 37614 131179 18 12 70  0  0
 1  0      0 59053512 143280 1078144    0    0     0     9 36489 125289 17 12 71  0  0
11  0      0 59039400 143280 1078176    0    0     0     7 36462 129694 18 12 70  0  0
 1  0      0 59047872 143280 1078144    0    0     0    10 37948 131334 18 12 70  0  0
 0  0      0 59044396 143284 1078144    0    0     0    15 36888 128349 18 12 70  0  0
23  0      0 59024416 143288 1078140    0    0     0    25 37250 128022 17 12 70  0  0
 1  0      0 59038948 143288 1078144    0    0     0     2 37644 130077 18 12 70  0  0
 1  0      0 59020192 143292 1078148    0    0     0     6 36838 129295 18 12 70  0  0
32  0      0 59033976 143292 1078148    0    0     0     3 37429 128912 18 12 70  0  0
25  0      0 59030540 143292 1078148    0    0     0     6 38637 134887 18 13 69  0  0
 6  0      0 59033252 143292 1078152    0    0     0    19 37891 133424 18 12 70  0  0
33  0      0 59016036 143296 1078184    0    0     0     6 38222 133635 18 13 69  0  0
 1  0      0 59028200 143296 1078152    0    0     0    25 37139 132206 18 12 70  0  0
30  0      0 59029284 143296 1078152    0    0     0     0 37325 128304 17 12 71  0  0
35  0      0 59031544 143296 1078156    0    0     0    13 38417 132484 18 13 69  0  0
27  0      0 59024724 143296 1078188    0    0     0     6 37097 129130 18 12 70  0  0
 6  0      0 59022020 143300 1078156    0    0     0    10 36697 131563 17 12 71  0  0
 1  0      0 59022560 143300 1078156    0    0     0    10 38249 132828 18 12 70  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 59016264 143304 1078156    0    0     0     6 38222 134185 18 12 70  0  0
18  0      0 59019892 143312 1078188    0    0     0    30 38485 134205 18 12 70  0  0
 1  0      0 58998228 143312 1078196    0    0     0    10 37060 133335 18 12 70  0  0
42  0      0 59023888 143312 1078200    0    0     0     0 37380 134279 18 12 69  0  0
 7  0      0 59011664 143312 1078200    0    0     0     9 37827 132404 18 12 70  0  0
19  0      0 59008980 143320 1078196    0    0     0    10 37550 133632 18 12 70  0  0
13  0      0 58983204 143328 1078196    0    0     0    18 37229 130056 18 12 70  0  0
 2  0      0 59000652 143332 1078196    0    0     0     6 37042 127518 17 12 70  0  0
 0  0      0 58994696 143336 1078196    0    0     0    28 37787 129862 18 12 70  0  0
 0  0      0 58994820 143336 1078200    0    0     0    14 38018 132469 18 12 70  0  0
12  0      0 58975344 143336 1078232    0    0     0     9 39422 136405 19 13 69  0  0
 2  0      0 58994588 143340 1078200    0    0     0     6 37205 129406 18 12 70  0  0
32  0      0 58994768 143340 1078200    0    0     0     3 38230 132728 18 12 69  0  0
 1  0      0 58990180 143340 1078200    0    0     0    12 38296 132760 18 12 70  0  0
 5  0      0 58979588 143340 1078232    0    0     0     6 37300 130597 18 12 70  0  0
 1  0      0 58976292 143340 1078200    0    0     0    30 37554 129899 18 12 69  0  0
 1  0      0 58974644 143344 1078204    0    0     0     6 38524 133925 19 13 69  0  0
 0  0      0 58965684 143344 1078204    0    0     0    10 38488 132811 19 13 68  0  0
18  0      0 58963284 143348 1078236    0    0     0     6 38527 135069 19 13 68  0  0
