procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 69350616 148384 1123476    0    0     0     0    1    4 13  7 80  0  0
19  0      0 67450720 148392 1123824    0    0     0    80 37863 138273 52  9 39  0  0
22  0      0 66042856 148392 1123832    0    0     0    16 37771 184166 39 12 49  0  0
10  0      0 65126084 148392 1123832    0    0     0     0 39303 243504 28 14 58  0  0
12  0      0 64938676 148392 1123864    0    0     0     6 38385 248341 23 14 63  0  0
14  0      0 64578348 148392 1123832    0    0     0    12 36684 236523 23 14 63  0  0
 3  0      0 64451656 148392 1123832    0    0     0     6 37074 244622 23 14 63  0  0
10  0      0 64174908 148392 1123836    0    0     0    64 38456 247198 23 14 63  0  0
13  0      0 64177248 148392 1123836    0    0     0     6 38057 251908 23 14 63  0  0
 4  0      0 64111996 148400 1123868    0    0     0    19 37438 244757 22 14 63  0  0
15  0      0 64075932 148404 1123832    0    0     0     6 37056 243233 23 14 64  0  0
13  0      0 64069288 148404 1123836    0    0     0     0 38324 252884 23 14 63  0  0
 8  0      0 63945704 148404 1123836    0    0     0     8 38524 249296 23 14 63  0  0
 9  0      0 63911804 148404 1123868    0    0     0    22 37926 250120 23 14 63  0  0
10  0      0 63900536 148408 1123840    0    0     0    30 36619 238154 22 14 64  0  0
12  0      0 63867836 148412 1123840    0    0     0     6 38170 249435 23 14 63  0  0
13  0      0 63862440 148412 1123840    0    0     0     0 37918 251096 23 14 64  0  0
 4  0      0 63778116 148420 1123872    0    0     0    14 38666 248789 23 14 63  0  0
10  0      0 63754168 148420 1123840    0    0     0     6 36188 239096 22 14 64  0  0
 2  0      0 63739972 148420 1123880    0    0     0     6 37518 245292 23 14 63  0  0
14  0      0 63703032 148420 1123880    0    0     0    29 38192 248818 23 14 63  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
