procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 64137000 146860 1108676    0    0     0     0    8    3 12  7 81  0  0
27  0      0 61922196 146860 1109064    0    0     0    79 38696 114263 50  9 41  0  0
11  0      0 60129956 146864 1109064    0    0     0    16 40540 166433 42 12 46  0  0
31  1      0 59757796 146864 1109032    0    0     0     0 44212 169218 32 12 56  0  0
 2  0      0 59446048 146864 1109032    0    0     0     9 38603 178810 23 13 64  0  0
 0  0      0 59058840 146864 1109032    0    0     0     0 41367 170534 24 13 63  0  0
 6  0      0 58778616 146864 1109032    0    0     0     9 43022 158574 26 13 61  0  0
52  0      0 58771048 146868 1109036    0    0     0    70 45555 162418 26 13 61  0  0
 1  0      0 58768348 146868 1109068    0    0     0     6 44613 167037 27 13 61  0  0
26  0      0 58758056 146868 1109036    0    0     0    10 46183 166563 27 13 61  0  0
 0  0      0 58676876 146868 1109036    0    0     0     6 43822 165053 27 13 60  0  0
 4  0      0 58645336 146868 1109068    0    0     0     0 46589 166175 27 13 61  0  0
 0  0      0 58665008 146876 1109036    0    0     0     6 45805 168307 27 13 60  0  0
 1  0      0 58587688 146876 1109036    0    0     0    12 54259 157726 26 13 62  0  0
 1  0      0 58555896 146876 1109072    0    0     0    36 43462 158643 25 12 62  0  0
 0  0      0 58577048 146884 1109040    0    0     0     6 44476 165584 26 13 61  0  0
51  0      0 58579192 146884 1109040    0    0     0     9 43524 160768 26 13 62  0  0
 1  0      0 58556528 146884 1109072    0    0     0     0 44105 164147 26 13 61  0  0
 0  0      0 58569556 146888 1109040    0    0     0     6 45231 169854 27 13 60  0  0
 3  0      0 58570332 146892 1109080    0    0     0    10 44178 164400 26 13 61  0  0
 0  0      0 58557580 146892 1109112    0    0     0    39 43429 161351 25 13 62  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 58567008 146896 1109084    0    0     0     6 45478 171579 27 13 60  0  0
 1  0      0 58567772 146900 1109084    0    0     0     6 43390 162803 26 13 62  0  0
 3  0      0 58545180 146904 1109116    0    0     0    10 43399 159768 25 12 62  0  0
 0  0      0 58567940 146904 1109084    0    0     0     6 43721 163441 26 13 61  0  0
46  0      0 58565668 146904 1109084    0    0     0     0 45627 173670 27 13 60  0  0
 0  0      0 58564324 146908 1109084    0    0     0    42 46015 173088 28 13 59  0  0
 4  0      0 58543016 146908 1109120    0    0     0    13 44465 166155 26 13 61  0  0
42  0      0 58565976 146912 1109088    0    0     0     9 45617 170095 27 13 60  0  0
 1  0      0 58566076 146912 1109088    0    0     0     6 45666 173222 27 13 60  0  0
41  0      0 58563720 146912 1109088    0    0     0     6 45926 173657 27 13 60  0  0
 1  0      0 58561040 146916 1109120    0    0     0     6 44827 169282 27 13 60  0  0
 1  0      0 58565960 146920 1109084    0    0     0    34 45142 167617 27 13 60  0  0
 2  0      0 58565632 146920 1109088    0    0     0     3 45333 171227 27 13 60  0  0
54  0      0 58564944 146928 1109092    0    0     0     9 44441 164666 26 13 61  0  0
38  0      0 58547156 146936 1109124    0    0     0     6 44095 162048 26 13 61  0  0
 1  0      0 58562568 146940 1109092    0    0     0     6 43560 161104 26 13 61  0  0
56  0      0 58565784 146940 1109092    0    0     0     0 45762 171076 27 13 60  0  0
 1  0      0 58562756 146940 1109092    0    0     0     9 46419 173074 27 13 60  0  0
31  0      0 58543424 146940 1109124    0    0     0    42 44623 167338 27 13 60  0  0
37  0      0 58565008 146940 1109092    0    0     0    13 43917 163400 26 13 61  0  0
52  0      0 58566228 146940 1109136    0    0     0     3 46014 174118 27 13 59  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 58569020 146940 1109136    0    0     0     6 45548 171257 27 13 60  0  0
 1  0      0 58572732 146940 1109172    0    0     0     6 45785 169987 27 13 60  0  0
 0  0      0 58577928 146940 1109140    0    0     0     6 43661 160844 26 13 61  0  0
 0  0      0 58581264 146940 1109144    0    0     0     4 45503 170773 27 13 60  0  0
 0  0      0 58582692 146940 1109144    0    0     0    42 46419 172663 27 13 60  0  0
14  0      0 58582432 146940 1109180    0    0     0     6 43500 162157 26 12 62  0  0
51  0      0 58571724 146944 1109148    0    0     0     9 43902 165082 26 13 61  0  0
